N	3gram	Vinokur_Vv_1	Komedia
1	в том что	12	5
2	вместе с тем	3	4
3	о том что	12	4
4	для того чтобы	21	4
5	по отношению к	4	3
6	так или иначе	4	3
7	в связи с	2	3
8	то же время	5	3
9	до тех пор	1	3
10	в то же	5	3
11	в обоих случаях	1	2
12	только потому что	1	2
13	не говоря уже	2	2
14	в этом смысле	10	2
15	в частности в	1	2
16	до сих пор	5	2
17	говоря уже о	1	2
18	в отличие от	3	2
19	бы то ни	1	2
20	то ни было	1	2
21	с одной стороны	4	2
22	в нем не	1	2
23	во всяком случае	3	2
24	с этой целью	1	2
25	и т п	5	2
26	к этому времени	2	2
27	после того как	2	2
28	к тому что	1	2
29	можно было бы	3	2
30	по содержанию и	1	1
31	сплошь да рядом	1	1
32	за ее пределами	1	1
33	имеется в виду	1	1
34	случаях имеется в	1	1
35	античного мира в	1	1
36	мы имеем дело	1	1
37	потому что в	1	1
38	в принципе же	1	1
39	одной из этих	1	1
40	в самом деле	5	1
41	каждой из них	1	1
42	никак не может	1	1
43	в соответствии с	2	1
44	в том же	1	1
45	как видно из	1	1
46	с точки зрения	2	1
47	только в том	2	1
48	как это было	1	1
49	одно из двух	1	1
50	с самого начала	1	1
51	до н э	6	1
52	но и в	1	1
53	дошедших до нас	1	1
54	что в нем	2	1
55	н э и	1	1
56	точно так же	2	1
57	вв до н	1	1
58	все же это	1	1
59	этой целью он	1	1
60	ему надо было	1	1
61	то что у	1	1
62	представление о том	1	1
63	о чем они	1	1
64	той или иной	1	1
65	в первом случае	2	1
66	же ясно что	1	1
67	возможность судить о	1	1
68	в качестве примера	1	1
69	на задний план	1	1
70	в чем же	3	1
71	как будто бы	2	1
72	по сравнению с	3	1
73	концу iv в	1	1
74	имеем дело с	1	1
75	не следует забывать	1	1
76	iv в до	2	1
77	только после того	2	1
78	само по себе	3	1
79	тех пор пока	1	1
80	сыграть свою роль	1	1
81	в разной степени	1	1
82	в целом ряде	2	1
83	с другой стороны	5	1
84	дошедшие до нас	1	1
85	мере в какой	4	1
86	и в том	3	1
87	не может быть	8	1
88	того или иного	1	1
89	у него в	1	1
90	но уже в	1	1
91	то обстоятельство что	1	1
92	это было у	1	1
93	в свою очередь	1	1
94	связи с этим	1	1
95	с каждым новым	1	1
96	и в самом	3	1
97	не только в	4	1
98	но в этом	1	1
99	но все же	3	1
100	и за ее	1	1
101	ближе всего к	1	1
102	во второй половине	2	1
103	как мы знаем	1	1
104	обычно мы имеем	1	1
105	только в начале	1	1
106	в каждом из	1	1
107	тем не менее	8	1
108	легко представить себе	1	1
109	к выводу что	5	1
110	к концу iv	1	1
111	на основании сохранившихся	1	1
112	как мы видели	2	1
113	может быть более	1	1
