N	3gram	Bakhtin_Fr_6	VerxiiNi
1	вместе с тем	1	8
2	с одной стороны	4	7
3	с точки зрения	2	6
4	более или менее	1	5
5	до сих пор	3	5
6	а с другой	1	5
7	для того чтобы	1	5
8	о том что	5	4
9	но все же	1	4
10	а так как	1	3
11	в конце концов	1	3
12	в связи с	1	3
13	в том что	2	3
14	с тем и	1	2
15	говорили о том	2	2
16	сих пор еще	3	2
17	в этом отношении	3	2
18	в значительной мере	1	2
19	некоторые из них	1	2
20	то что он	1	2
21	так и от	1	2
22	таким образом в	2	2
23	то же время	5	2
24	но и для	1	2
25	той или иной	1	2
26	можно сказать что	1	2
27	есть как бы	1	2
28	в то же	5	2
29	это связано с	1	1
30	и того же	1	1
31	в широком смысле	1	1
32	сказать что в	2	1
33	притом не только	1	1
34	том как бы	1	1
35	по отношению к	1	1
36	в которых он	1	1
37	в самом деле	4	1
38	в настоящее время	1	1
39	одного и того	1	1
40	связанных с именем	1	1
41	свидетельствует о том	1	1
42	о том как	1	1
43	а потому что	1	1
44	в эту эпоху	1	1
45	до известной степени	1	1
46	физическая сила и	1	1
47	никогда не могут	1	1
48	одной стороны с	1	1
49	все это мы	1	1
50	совершенно ясно что	1	1
51	таким образом уже	1	1
52	человека и в	1	1
53	в xvii веке	2	1
54	уже говорили о	2	1
55	в этой области	1	1
56	в данном случае	2	1
57	в первом случае	3	1
58	но в то	1	1
59	смысле этого слова	1	1
60	и в этой	1	1
61	а не как	1	1
62	мы уже говорили	11	1
63	один из этих	1	1
64	друг к другу	1	1
65	до настоящего времени	1	1
66	что касается до	1	1
67	с другой стороны	2	1
68	как бы в	1	1
69	мы видели что	1	1
70	один и тот	1	1
71	из этих трех	1	1
72	не совпадает с	1	1
73	только то что	1	1
74	у него в	1	1
75	не может быть	1	1
76	в то время	1	1
77	в лесах и	1	1
78	в одном из	1	1
79	и превращается в	1	1
80	связан и другой	1	1
81	что связано с	1	1
82	в этой роли	2	1
83	его с другими	1	1
84	после того как	1	1
85	мы видим что	1	1
86	и что он	1	1
87	одном из своих	1	1
88	что и в	1	1
89	отправной точкой для	1	1
90	и тот же	2	1
