N	4gram	Losev_Prob_4	Formalny
1	бы то ни было	1	4
2	в зависимости от его	1	2
3	и в то же	1	2
4	на самом же деле	2	2
5	вовсе не являются только	1	1
6	и в других областях	1	1
7	в том что они	1	1
8	в том числе и	1	1
9	дело здесь не в	1	1
10	ни в коем случае	3	1
11	с этой точки зрения	1	1
12	в коем случае не	1	1
13	а вместе с тем	1	1
14	что в данном случае	1	1
15	в жизни и в	1	1
16	мы имеем в виду	1	1
17	в связи с теорией	1	1
18	каких бы то ни	1	1
19	с другой стороны и	1	1
20	и тем не менее	3	1
21	во всяком случае предполагает	1	1
22	дело в том что	1	1
23	не выходит за пределы	1	1
