N	3gram	Tiupa_Teor_1	Komedia
1	в том что	8	9
2	для того чтобы	1	6
3	в свою очередь	2	6
4	в то же	5	4
5	о том что	1	4
6	то же время	5	4
7	по отношению к	4	3
8	с точки зрения	3	3
9	в связи с	1	3
10	с одной стороны	2	3
11	тем не менее	3	3
12	то же самое	1	3
13	состоит в том	5	2
14	так или иначе	4	2
15	бы то ни	1	2
16	то ни было	1	2
17	с другой стороны	5	2
18	в то время	1	2
19	в конечном счете	6	2
20	в известной степени	1	2
21	именно потому что	1	2
22	том что она	1	1
23	однако и в	1	1
24	как уже говорилось	1	1
25	к окружающему его	1	1
26	на себя внимание	1	1
27	в виду что	1	1
28	более или менее	2	1
29	имеем в виду	3	1
30	подобно тому как	1	1
31	в том числе	2	1
32	в соответствии с	2	1
33	так и не	4	1
34	и в то	1	1
35	не было и	1	1
36	в отличие от	6	1
37	по крайней мере	1	1
38	как раз в	1	1
39	таким же образом	1	1
40	в самом начале	2	1
41	обращает на себя	1	1
42	в первом случае	1	1
43	себе отчет в	1	1
44	не сводится к	4	1
45	таким образом и	1	1
46	и в пределах	1	1
47	и не могла	1	1
48	как бы в	1	1
49	а в ее	1	1
50	в себе самом	1	1
51	так же точно	1	1
52	можно сказать что	2	1
53	в основе своей	1	1
54	если говорить о	1	1
55	по своему происхождению	1	1
56	мы имеем в	3	1
57	жизнь в которой	1	1
58	таким образом что	1	1
59	к тому что	2	1
60	друг от друга	1	1
61	в отношении к	1	1
62	человека и его	1	1
63	том числе и	1	1
