N	3gram	Berdyaev_M_2	Marksizm
1	с точки зрения	1	20
2	не может быть	8	13
3	до сих пор	3	8
4	одни и те	1	5
5	и те же	2	5
6	в отношении к	2	4
7	может быть и	2	3
8	для того чтобы	4	3
9	в том что	2	3
10	в конце концов	1	3
11	в этом отношении	1	3
12	в высшей степени	3	3
13	это и есть	3	2
14	так же как	3	2
15	одной и той	2	2
16	по отношению к	2	2
17	и той же	2	2
18	от того что	3	2
19	смысле этого слова	1	2
20	сама по себе	1	2
21	же как и	3	2
22	как и все	1	2
23	жизни в этом	1	2
24	в нем нет	2	2
25	к одному знаменателю	1	2
26	природной и социальной	1	1
27	подобно тому как	2	1
28	и должно быть	1	1
29	там и здесь	6	1
30	сих пор не	1	1
31	и не было	1	1
32	и для него	2	1
33	того чтобы сделать	1	1
34	а следовательно и	1	1
35	прежде всего как	1	1
36	всего может быть	1	1
37	друг друга не	1	1
38	xix века и	1	1
39	к тому что	3	1
40	на почве этого	1	1
41	и других представителей	1	1
42	и там и	6	1
43	по ту сторону	1	1
44	и та же	2	1
45	для этого необходимо	3	1
46	лежит в основе	1	1
47	на самом деле	1	1
48	и отличается от	1	1
49	личности он –	1	1
50	и в нем	1	1
51	у нас не	2	1
52	по природе своей	1	1
53	но и это	1	1
54	в значительной степени	1	1
55	это – чисто	1	1
56	той или иной	1	1
57	как и во	2	1
58	друг для друга	2	1
59	есть прежде всего	5	1
60	организма но и	1	1
61	никогда не будет	1	1
62	одна и та	2	1
63	в этом направлении	1	1
64	в себе и	1	1
65	и он сам	1	1
66	но и в	1	1
67	большое место в	1	1
68	том что он	1	1
69	по преимуществу во	1	1
70	а не в	2	1
71	а не только	1	1
72	точки зрения так	1	1
73	– принадлежит к	1	1
74	во втором случае	1	1
75	а между тем	1	1
