N	3gram	Nazirov_Tv_2	VrazhdaK
1	отцов и детей	1	4
2	то же время	7	4
3	в то же	7	4
4	как и у	1	3
5	в связи с	1	3
6	в русской литературе	1	3
7	в в виноградов	1	2
8	в письме к	1	2
9	и что в	1	2
10	но в то	1	2
11	в году в	1	2
12	в году и	1	2
13	не может быть	3	2
14	в мае года	1	2
15	величайшей книгой в	1	2
16	в том что	2	2
17	тургенев в году	1	1
18	архаического смеха и	1	1
19	о летних впечатлениях	2	1
20	достоевского не стоит	1	1
21	а одна из	1	1
22	герои романа идиот	1	1
23	кихота сервантеса достоевский	1	1
24	нас интересует другое	1	1
25	н к михайловского	1	1
26	грустной из книг	1	1
27	и их прототипы	1	1
28	о забитой лошади	1	1
29	в нем самом	1	1
30	от архаического смеха	1	1
31	в соответствии с	4	1
32	в том же	2	1
33	над тем что	1	1
34	сложности понятия юмор	1	1
35	неудачу наше чувство	1	1
36	сам в глубине	1	1
37	до сих пор	3	1
38	и не может	2	1
39	книгой в истории	1	1
40	в романе достоевского	5	1
41	но нас интересует	1	1
42	время самой грустной	1	1
43	преступлении и наказании	10	1
44	а н майкову	1	1
45	отличается от архаического	1	1
46	и далее я	1	1
47	для нас испанцев	1	1
48	и начинается с	1	1
49	писателя для нас	1	1
50	же время самой	1	1
51	в третий раз	1	1
52	интересует другое достоевский	1	1
53	не стоит преувеличивать	1	1
54	что в нем	1	1
55	самой сложности понятия	1	1
56	в призраках и	1	1
57	но это не	1	1
58	в этот период	1	1
59	точно так же	1	1
60	сервантеса смеявшегося над	1	1
61	глубине души любил	1	1
62	мая года достоевский	1	1
63	может как и	1	1
64	в преступлении и	10	1
65	по крайней мере	2	1
66	сам достоевский в	1	1
67	с дон кихота	1	1
68	подменяя специальных обзоров	1	1
69	записках из подполья	3	1
70	это меланхолическая улыбка	1	1
71	и считает односторонним	1	1
72	и в то	2	1
73	достоевского не подменяя	1	1
74	войне и мире	1	1
75	о том как	1	1
76	едва ли не	2	1
77	в этой сцене	2	1
78	романтизма и считает	1	1
79	роман величайшей книгой	1	1
80	истории человечества и	1	1
81	в письмах достоевского	1	1
82	так же как	2	1
83	такое понимание юмора	1	1
84	испанского писателя для	1	1
85	и у чехова	1	1
86	текущей истории нравов	1	1
87	смеявшегося над тем	1	1
88	о прототипе ставрогина	1	1
89	преступления и наказания	2	1
90	этот период достоевский	1	1
91	тем что он	1	1
92	считает односторонним интересно	1	1
93	современного испанского писателя	1	1
94	в высшей степени	1	1
95	апреля года достоевский	1	1
96	начала дать лишь	1	1
97	сравнивал достоевского с	1	1
98	но при этом	1	1
99	по нашему мнению	4	1
100	в известном смысле	1	1
101	и в этом	1	1
102	а с другой	1	1
103	односторонним интересно в	1	1
104	и апреля года	1	1
105	маркизом де садом	1	1
106	что он сам	1	1
107	в окончательный текст	2	1
108	книг такое понимание	1	1
109	все же не	2	1
110	этот роман величайшей	1	1
111	смеха и начинается	1	1
112	во всяком случае	2	1
113	достоевский не мог	1	1
114	быть может как	1	1
115	конце х годов	1	1
116	что у него	1	1
117	с другой стороны	2	1
118	сервантеса достоевский признавал	1	1
119	для начала дать	1	1
120	из книг такое	1	1
121	нас испанцев настоящий	1	1
122	дать лишь характеристику	1	1
123	записки из подполья	2	1
124	у тургенева достоевский	1	1
125	же быть может	1	1
126	преступление и наказание	1	1
127	явление новых времен	1	1
128	человечества и в	1	1
129	чувство юмора так	1	1
130	признавал этот роман	1	1
131	от апреля года	1	1
132	потерпело неудачу наше	1	1
133	по сей день	1	1
134	достоевского хотя и	1	1
135	всяком случае о	1	1
136	юмор сервантеса смеявшегося	1	1
137	любил и что	1	1
138	в то время	1	1
139	однако в мире	1	1
140	в истории человечества	1	1
141	в свою очередь	1	1
142	это и есть	1	1
143	обзоров попытаемся для	1	1
144	м м бахтин	4	1
145	о том что	2	1
146	достоевский признавал этот	1	1
147	души любил и	1	1
148	попытаемся для начала	1	1
149	и никогда не	1	1
150	освобождения крестьян и	1	1
151	мнение современного испанского	1	1
152	специальных обзоров попытаемся	1	1
153	в ту эпоху	1	1
154	зимних заметках о	2	1
155	еще не знал	1	1
156	так же быть	1	1
157	эпохой романтизма и	1	1
158	самом потерпело неудачу	1	1
159	юмор достоевского не	1	1
160	он сам в	2	1
161	не подменяя специальных	1	1
162	начинается с дон	1	1
163	юмора так же	1	1
164	характеристику самой сложности	1	1
165	это не просто	1	1
166	идиот и их	1	1
167	в париже в	1	1
168	в конце х	1	1
169	позволительно предположить что	1	1
170	и сам достоевский	1	1
171	в конце жизни	1	1
172	дон кихота сервантеса	1	1
173	не дают оснований	1	1
174	в зимних заметках	3	1
175	у себя на	1	1
176	романа идиот и	1	1
177	испанцев настоящий юмор	1	1
178	нем самом потерпело	1	1
179	в твери в	1	1
180	же время с	1	1
181	наше чувство юмора	1	1
182	с маркизом де	1	1
183	это юмор сервантеса	1	1
184	в глубине души	1	1
185	лишь характеристику самой	1	1
186	самой грустной из	1	1
187	заметках о летних	2	1
188	писателя за год	1	1
189	достоевского с маркизом	1	1
