N	2gram	Medvedev_F_2	Literetu
1	и не	20	22
2	и в	38	16
3	при этом	9	15
4	в этом	27	14
5	не только	9	14
6	но и	13	14
7	в том	11	12
8	может быть	23	12
9	а не	6	12
10	то что	6	12
11	не в	15	10
12	такого рода	1	10
13	то же	6	9
14	так и	8	9
15	в то	5	9
16	того что	3	9
17	в этой	6	8
18	том что	2	8
19	не может	14	8
20	как бы	4	8
21	в своей	7	7
22	тем самым	2	7
23	же время	5	7
24	только в	6	7
25	со стороны	2	7
26	точки зрения	8	7
27	с его	11	6
28	в себе	1	6
29	состоит в	2	6
30	в другом	1	6
31	по мысли	1	6
32	произведение искусства	2	6
33	о том	1	6
34	и его	21	6
35	в его	10	6
36	с другой	3	6
37	к тому	4	6
38	в отличие	2	5
39	отличие от	2	5
40	как в	4	5
41	в целом	3	5
42	лишь в	7	5
43	это не	2	5
44	как и	9	5
45	в основе	5	5
46	этом отношении	7	5
47	в ее	2	5
48	что он	5	5
49	в качестве	2	5
50	в поэзии	12	5
51	именно в	5	5
52	а именно	2	5
53	вместе с	6	5
54	особого рода	1	5
55	а в	6	5
56	одним из	1	4
57	но не	2	4
58	хотя и	3	4
59	входит в	4	4
60	должно быть	2	4
61	место в	3	4
62	даже в	2	4
63	не говоря	1	4
64	никогда не	2	4
65	говоря уже	1	4
66	данном случае	1	4
67	с одной	1	4
68	из них	4	4
69	как будто	1	4
70	в природе	1	4
71	до конца	2	4
72	одной стороны	1	4
73	в данном	1	4
74	по существу	7	4
75	и для	5	4
76	например в	3	3
77	самом деле	8	3
78	едва ли	2	3
79	той же	1	3
80	в сторону	4	3
81	отнюдь не	8	3
82	однако не	3	3
83	и как	3	3
84	и наконец	4	3
85	и к	4	3
86	но в	4	3
87	то в	2	3
88	самим собой	1	3
89	и тем	2	3
90	в слове	5	3
91	с точки	7	3
92	произведения в	2	3
93	потому что	2	3
94	в области	3	3
95	уже о	1	3
96	для его	1	3
97	в словах	1	3
98	прежде всего	15	3
99	между тем	2	3
100	все время	6	3
101	совершенно не	4	3
102	уже не	7	3
103	в единстве	2	3
104	в самом	16	3
105	более того	5	3
106	о чем	1	3
107	и а	1	3
108	как это	2	3
109	там где	4	3
110	жизни и	3	3
111	как на	1	3
112	художественного произведения	6	2
113	того же	1	2
114	в первом	7	2
115	установка на	2	2
116	поэзии и	1	2
117	как мы	7	2
118	вопрос о	1	2
119	так чтобы	1	2
120	не вполне	1	2
121	из того	1	2
122	то это	3	2
123	и на	3	2
124	время в	1	2
125	бы то	1	2
126	во всех	5	2
127	теперь как	1	2
128	отказ от	1	2
129	отношение к	2	2
