N	4gram	Bakhtin_Fr_3	Vvedenie
1	в то же время	6	6
2	не что иное как	1	4
3	но в то же	4	3
4	дело в том что	1	2
5	есть не что иное	1	2
6	одной и той же	2	2
7	в той или иной	2	1
8	может быть и не	1	1
9	какой бы то ни	1	1
10	мы имеем в виду	1	1
11	хотя бы и не	1	1
12	имеет дело не с	1	1
13	и прежде всего в	1	1
14	в связи с этим	1	1
15	заключается в том чтобы	1	1
16	и прямо заявляет что	1	1
17	бы то ни было	1	1
18	как она отразилась в	1	1
19	той или иной степени	1	1
20	в большей или меньшей	2	1
21	не может быть в	1	1
22	именно для того чтобы	1	1
23	большей или меньшей степени	2	1
