N	2gram	Bakhtin_Fr_2	Vladivir
1	и в	49	40
2	то что	6	28
3	не только	17	25
4	и не	15	25
5	учение о	2	24
6	у него	2	24
7	то есть	32	24
8	том что	4	18
9	в том	3	18
10	но и	13	18
11	еще и	1	18
12	также и	3	17
13	что в	2	17
14	в этом	15	16
15	в его	18	14
16	так что	1	14
17	не может	7	14
18	в виде	1	13
19	точки зрения	6	13
20	вовсе не	10	13
21	только в	13	13
22	в конце	2	12
23	даже и	2	12
24	сказать что	6	12
25	никогда не	5	11
26	потому что	1	11
27	таким образом	7	11
28	о том	3	11
29	в году	13	10
30	ни в	3	10
31	и его	17	10
32	не есть	1	10
33	прежде всего	19	10
34	как раз	1	10
35	и потому	5	10
36	это есть	1	10
37	и то	1	9
38	в себе	4	9
39	и с	6	9
40	в своей	5	9
41	не менее	1	9
42	есть только	1	9
43	под названием	2	9
44	как мы	7	8
45	в своем	5	8
46	в этой	10	8
47	он не	1	8
48	не был	3	8
49	для него	9	8
50	может быть	5	8
51	а не	1	8
52	так же	2	8
53	же с	2	7
54	хотя и	2	7
55	и как	1	7
56	что все	1	7
57	с тем	1	7
58	как и	11	7
59	несмотря на	3	7
60	в то	6	7
61	там же	2	7
62	что и	1	7
63	того что	1	7
64	так как	6	7
65	в те	1	7
66	вместе с	2	7
67	к тому	1	7
68	а в	4	7
69	в своих	4	7
70	и на	17	6
71	не мог	1	6
72	с точки	5	6
73	иной раз	1	6
74	в смысле	2	6
75	во всем	3	6
76	и это	3	6
77	и от	1	6
78	так и	6	6
79	об этом	1	6
80	и здесь	1	6
81	и даже	2	6
82	если не	1	6
83	xix века	2	6
84	да и	3	6
85	это значит	1	6
86	но это	2	6
87	хотя бы	1	6
88	отношения к	4	5
89	те времена	1	5
90	мы уже	6	5
91	в ней	2	5
92	в истории	6	5
93	все эти	7	5
94	содержит в	2	5
95	можно было	3	5
96	но если	1	5
97	в отношении	2	5
98	дело в	1	5
99	тем что	4	5
100	для нас	1	5
101	ничего не	2	5
102	эти три	1	5
103	для себя	1	5
104	еще в	2	5
105	с другой	4	5
106	конце концов	1	5
107	что он	3	5
108	только на	1	5
109	в одном	3	5
110	не было	4	5
111	в самом	3	4
112	то же	7	4
113	и о	4	4
