N	3gram	Bakhtin_Pr_1	Morfolog
1	и т д	1	47
2	в этом случае	1	9
3	не может быть	4	8
4	подобно тому как	3	5
5	то перед нами	2	5
6	по отношению к	8	4
7	с точки зрения	13	4
8	с другой стороны	3	4
9	в первом случае	1	3
10	не могут быть	1	3
11	независимо от того	1	3
12	на самом деле	4	3
13	но все же	2	3
14	оно может быть	2	2
15	более или менее	1	2
16	в настоящее время	1	2
17	ни одной из	1	2
18	точно так же	1	2
19	и в других	1	2
20	может быть и	1	2
21	то время как	1	2
22	на первый взгляд	1	2
23	это не значит	3	2
24	в то время	1	2
25	в большинстве случаев	2	2
26	друг за другом	1	2
27	для того чтобы	1	2
28	в том что	6	2
29	хотя и не	1	1
30	то ни стало	1	1
31	а вовсе не	1	1
32	же время и	1	1
33	он может быть	2	1
34	том что он	4	1
35	она может быть	1	1
36	что же касается	1	1
37	как бы в	2	1
38	во что бы	1	1
39	тому что в	1	1
40	до сих пор	2	1
41	бы то ни	2	1
42	но это не	2	1
43	можно было бы	2	1
44	на первом месте	1	1
45	в противном случае	1	1
46	от другого и	1	1
47	героя а не	1	1
48	и др более	1	1
49	в данном случае	2	1
50	что бы то	1	1
51	на этот вопрос	1	1
52	не входит в	3	1
53	может быть или	1	1
54	могут появляться и	1	1
55	важно не то	1	1
56	другой вопрос в	1	1
57	перед нами в	1	1
58	во всяком случае	3	1
59	могут быть поняты	1	1
60	друг к другу	1	1
61	то же время	9	1
62	между героем и	1	1
63	мы имеем в	1	1
64	о том что	1	1
65	с самого начала	1	1
66	ни одна из	1	1
67	он не может	1	1
68	т е не	2	1
69	можно сказать что	1	1
70	и пр как	1	1
71	они ни были	1	1
72	и независимо от	1	1
73	от того как	1	1
74	в то же	9	1
75	к тому что	1	1
76	типа а не	1	1
77	т е о	1	1
78	так как не	2	1
79	друг с другом	1	1
80	что и в	1	1
