N	2gram	Bakhtin_Pr_1	Sovremen
1	не может	11	17
2	может быть	21	12
3	точки зрения	21	12
4	таким образом	11	11
5	мы не	2	9
6	в каждом	8	8
7	в этом	25	7
8	не можем	1	7
9	и в	23	7
10	ничего не	6	6
11	как и	8	6
12	и не	34	6
13	в результате	4	6
14	и наконец	5	5
15	все эти	8	5
16	что же	1	5
17	каждом отдельном	1	5
18	прежде всего	7	5
19	с точки	15	5
20	в условиях	2	5
21	в дальнейшем	1	4
22	в зависимости	3	4
23	вопрос о	4	4
24	зависимости от	3	4
25	нет и	1	4
26	мы должны	2	4
27	в том	11	4
28	в целом	4	4
29	если мы	1	4
30	из них	2	4
31	же это	1	4
32	так как	7	4
33	не только	13	4
34	в развитии	1	4
35	как бы	28	4
36	вместе с	2	4
37	это не	10	4
38	точку зрения	4	4
39	их в	2	4
40	а в	7	4
41	жизни и	6	4
42	он может	3	3
43	в первом	2	3
44	с самого	2	3
45	то же	10	3
46	все же	5	3
47	еще не	5	3
48	но в	4	3
49	он в	2	3
50	в этой	4	3
51	в себе	5	3
52	уже в	5	3
53	как он	2	3
54	что она	2	3
55	ведь это	2	3
56	в одном	9	3
57	в конце	5	3
58	в нем	20	3
59	при этом	3	3
60	было бы	6	3
61	а не	20	3
62	всех элементов	1	3
63	и потому	3	3
64	не в	6	3
65	все это	7	3
66	самого начала	3	3
67	одна из	2	3
68	для нас	3	3
69	и все	3	3
70	у нас	1	3
71	и к	4	3
72	отличается от	2	3
73	в области	3	3
74	как мы	5	2
75	между всеми	1	2
76	и есть	5	2
77	тем же	1	2
78	приводит к	3	2
79	роль в	2	2
80	той же	6	2
81	времени и	1	2
82	для его	3	2
83	из одного	4	2
84	и даже	3	2
85	говорить о	2	2
86	и что	1	2
87	на их	1	2
88	и во	2	2
89	самом деле	5	2
90	говорить об	2	2
91	в его	24	2
92	каждая из	1	2
93	с этим	1	2
94	быть и	1	2
95	только один	1	2
96	в самом	8	2
97	в которой	4	2
98	что это	1	2
99	в нашем	1	2
100	из этих	2	2
101	со всеми	1	2
102	ни одна	1	2
103	уже не	8	2
104	то и	2	2
105	так сказать	3	2
106	с другом	3	2
107	на его	2	2
108	о принципиальной	1	2
109	всяком случае	3	2
110	у него	6	2
111	и по	2	2
112	отличие от	2	2
113	ее на	1	2
114	но все	4	2
115	то ни	3	2
116	что все	3	2
117	значение в	1	2
118	своим особым	1	2
119	развития в	1	2
120	в живом	1	2
121	в некоторых	1	2
122	и пр	1	2
123	а на	1	2
124	на этот	2	2
125	такой же	1	2
126	в один	2	2
127	что такое	1	2
128	он должен	1	2
129	из которых	2	2
130	в отличие	2	2
131	он приводит	1	2
132	такого рода	1	2
133	друг с	3	2
134	же мы	1	2
135	не менее	1	2
136	на котором	2	2
137	и именно	1	2
138	она может	1	2
139	наблюдения и	1	2
140	мы видим	3	2
141	не дает	3	2
142	тот же	2	2
143	совершенно не	1	2
144	не могут	6	2
145	могут быть	1	2
146	же самое	1	2
147	что в	8	2
148	только одну	1	2
149	если же	2	2
150	во всяком	4	2
151	и наиболее	1	1
152	должен быть	1	1
153	и это	5	1
154	он ищет	3	1
155	можно говорить	2	1
156	оно может	1	1
157	для этих	1	1
158	появляются новые	1	1
159	с ее	2	1
160	через все	1	1
161	на самом	4	1
162	ведь в	1	1
163	это и	9	1
164	жизни где	1	1
165	отношению к	11	1
166	по преимуществу	3	1
167	и до	1	1
168	бы к	2	1
169	в мире	7	1
170	входящих в	1	1
171	можно было	3	1
172	и могут	1	1
173	мы уже	2	1
174	те же	1	1
175	их и	1	1
176	из всех	1	1
177	есть не	2	1
178	здесь нет	1	1
179	во многом	1	1
180	и само	2	1
181	нуждаются в	1	1
182	же как	1	1
183	и всюду	1	1
184	это только	1	1
185	теперь мы	1	1
186	поэтому в	2	1
187	если бы	10	1
188	и действительно	1	1
189	видим не	1	1
190	или как	5	1
191	разобраться в	2	1
192	хотя конечно	1	1
193	подчеркнуть что	1	1
194	о том	2	1
195	в ней	1	1
196	что каждый	1	1
197	и ставит	1	1
198	утверждает что	1	1
199	она всегда	1	1
200	он сам	3	1
201	все его	1	1
202	же время	7	1
203	бы то	3	1
204	его в	4	1
205	с его	6	1
206	во всех	5	1
207	но конечно	2	1
208	раз и	3	1
209	данном случае	2	1
210	совсем не	1	1
211	но не	8	1
212	образом все	2	1
213	к этому	2	1
214	но как	3	1
215	точка зрения	7	1
216	из каждого	1	1
217	во втором	1	1
218	по отношению	11	1
219	а потому	2	1
220	ним и	4	1
221	во всей	2	1
222	каждый элемент	1	1
223	это сравнение	1	1
224	крайней мере	2	1
225	может стать	1	1
226	к концу	1	1
227	все время	1	1
228	чем же	1	1
229	идет о	3	1
230	то чем	3	1
231	к которому	1	1
232	к нему	3	1
233	форму и	1	1
234	известном смысле	1	1
235	один из	2	1
236	кроме того	3	1
237	одной из	1	1
238	ли он	2	1
239	в действительности	1	1
240	только в	8	1
241	значение этих	1	1
242	в этот	2	1
243	целого и	1	1
244	за собой	1	1
245	то он	3	1
246	не приходится	1	1
247	к другому	2	1
248	образная аналогия	1	1
249	но ведь	1	1
250	в известном	1	1
251	нет свободы	1	1
252	нами в	1	1
253	явлений и	1	1
254	всего необходимо	1	1
255	волевого акта	3	1
256	этот вопрос	2	1
257	конечно не	1	1
258	и у	4	1
259	мира но	2	1
260	в большинстве	2	1
261	ни одного	2	1
262	вследствие этого	1	1
263	в начале	1	1
264	этот процесс	1	1
265	всеми ее	1	1
266	в первых	1	1
267	и ищет	1	1
268	жизни вообще	1	1
269	он не	4	1
270	его и	1	1
271	что сказать	1	1
272	и еще	1	1
273	искать в	2	1
274	себе в	1	1
275	и их	2	1
276	эти три	1	1
277	центр тяжести	1	1
278	и навсегда	2	1
279	к одному	1	1
280	как их	3	1
281	по существу	4	1
282	сами по	3	1
283	вовсе не	8	1
284	от различных	1	1
285	для них	1	1
286	ему принадлежит	1	1
287	из одной	1	1
288	как его	1	1
289	случае не	1	1
290	какой бы	2	1
291	объяснение этого	1	1
292	одному и	1	1
293	к очень	1	1
294	трагической катастрофы	1	1
295	зрения с	1	1
296	не из	2	1
297	определенных условиях	1	1
