N	3gram	Medvedev_U_1	KulturaY
1	в том что	2	10
2	в самом деле	2	7
3	с другой стороны	3	7
4	по крайней мере	2	6
5	в этом смысле	2	5
6	само по себе	1	5
7	в этой области	3	4
8	не только в	1	4
9	не может быть	4	4
10	большей или меньшей	1	3
11	в этом отношении	2	3
12	в большей или	1	3
13	в конце концов	2	3
14	или меньшей степени	1	3
15	то же время	3	3
16	в то же	3	3
17	но даже и	2	2
18	в этом случае	1	2
19	хотя бы и	2	2
20	тем что он	1	2
21	в широком смысле	1	2
22	в конечном счете	4	2
23	можно сказать что	1	2
24	на то что	1	2
25	так или иначе	1	2
26	смысле этого термина	2	1
27	и не только	1	1
28	до сих пор	2	1
29	сам по себе	1	1
30	бы то ни	3	1
31	в первую очередь	1	1
32	не было бы	1	1
33	но это не	1	1
34	и то что	2	1
35	и у других	1	1
36	и в частности	2	1
37	прежде всего что	1	1
38	все это в	1	1
39	в данном случае	1	1
40	то ни было	3	1
41	она сводится к	1	1
42	с одной стороны	1	1
43	не могут быть	2	1
44	и в этой	2	1
45	в противном случае	2	1
46	не в том	1	1
47	и прежде всего	1	1
48	этом случае он	1	1
49	еще один пример	1	1
50	у нас в	1	1
51	тех или иных	2	1
52	в буквальном смысле	1	1
53	и с другой	1	1
