N	4gram	Losev_Vlad_1	StatiiOP
1	дело в том что	4	4
2	в то же время	4	4
3	но в то же	1	2
4	в том что в	2	2
5	мы имеем дело с	1	1
6	протяжении всей его жизни	1	1
7	уже о том что	1	1
8	о том что в	1	1
9	и т д в	1	1
10	за то что тот	1	1
11	также и в том	1	1
12	ни в каком случае	1	1
13	и в то же	2	1
14	в то время как	1	1
15	в каком случае не	1	1
16	так или иначе но	1	1
17	на протяжении всей его	1	1
18	и то обстоятельство что	2	1
19	не выходя за пределы	1	1
20	по этому поводу с	1	1
21	также и то что	1	1
22	не говоря уже о	1	1
23	на то что у	1	1
24	и о том что	1	1
