N	3gram	Tiupa_Disk_2	Vvedenie
1	о том что	3	12
2	в том что	6	12
3	но также и	1	9
4	тем не менее	1	8
5	не может быть	3	8
6	в то же	4	6
7	в применении к	1	6
8	в самом деле	1	6
9	то же время	5	6
10	с другой стороны	1	5
11	мере в какой	1	5
12	той мере в	1	5
13	в той мере	1	5
14	с одной стороны	4	4
15	может быть названо	1	4
16	во всяком случае	1	4
17	в этом случае	2	4
18	по отношению к	4	4
19	в этом отношении	4	4
20	в данном случае	6	4
21	по крайней мере	1	4
22	и именно в	1	3
23	можно сказать что	1	3
24	одной стороны и	2	3
25	именно в этом	1	3
26	в свое время	2	3
27	подобно тому как	2	2
28	одной и той	1	2
29	это еще не	2	2
30	в другом месте	1	2
31	а также и	1	2
32	дело не с	1	2
33	что же касается	2	2
34	состоит в том	2	2
35	и той же	1	2
36	как будто бы	1	2
37	той или иной	3	2
38	не могут быть	1	2
39	не говоря уже	1	2
40	дело в том	2	2
41	не в том	1	2
42	с точки зрения	2	2
43	в соответствии с	2	2
44	можно говорить о	1	1
45	большую или меньшую	1	1
46	с самого начала	1	1
47	и том же	1	1
48	и то что	2	1
49	бы то ни	1	1
50	что входит в	1	1
51	особое отношение к	1	1
52	одно из двух	1	1
53	как уже было	1	1
54	в общих чертах	1	1
55	мы имеем дело	1	1
56	одно и то	2	1
57	заключает в себе	2	1
58	потому что в	1	1
59	он представляет собой	1	1
60	прежде всего он	1	1
61	обратим внимание на	1	1
62	и того же	2	1
63	и прежде всего	2	1
64	прежде всего в	1	1
65	одном и том	1	1
66	но здесь не	1	1
67	и то же	2	1
68	того или иного	1	1
69	но в этом	1	1
70	в этом качестве	1	1
71	все то что	1	1
72	лицом к лицу	1	1
73	ценностей а в	1	1
74	приходит к выводу	1	1
75	быть и не	1	1
76	одного и того	2	1
77	значении этого термина	1	1
78	не одно и	1	1
79	та или иная	1	1
80	во главе с	1	1
81	в качестве примера	2	1
82	себя в противовес	1	1
83	она во всяком	1	1
84	в отличие от	12	1
85	уже было сказано	1	1
86	только то что	1	1
87	в той или	1	1
88	один из важнейших	1	1
89	и могут быть	1	1
90	то ни было	1	1
91	говоря уже о	1	1
