N	3gram	Propp_Russ_1	Mirosoze
1	друг к другу	2	5
2	что и в	1	4
3	что иное как	2	3
4	же как и	1	3
5	к тому что	4	3
6	так же как	1	3
7	у него нет	1	3
8	и в этом	1	3
9	потому что она	1	3
10	не что иное	2	3
11	и он же	1	2
12	это означает что	1	2
13	подобно тому как	1	2
14	потому что он	1	2
15	может быть назван	1	2
16	но это не	2	2
17	есть один из	1	2
18	может быть и	2	2
19	так как он	1	2
20	т е в	1	2
21	не до конца	1	2
22	и та же	1	2
23	одна и та	1	2
24	о том что	4	2
25	по отношению к	1	2
26	как и в	1	2
27	и те же	1	2
28	после того как	2	2
29	она не имеет	1	2
30	в том что	15	2
31	мы увидим что	1	2
32	что было в	1	1
33	том что в	6	1
34	а следовательно и	1	1
35	он так и	1	1
36	и не случайно	1	1
37	и в нашем	1	1
38	только тогда когда	1	1
39	с точки зрения	3	1
40	и его жизнь	1	1
41	но в русском	1	1
42	себя и не	1	1
43	в себе и	1	1
44	в этом отношении	1	1
45	на то что	1	1
46	не только этот	1	1
47	его жизнь в	1	1
48	не потому что	1	1
49	что все можно	1	1
50	одни и те	1	1
51	это не дает	1	1
52	том что это	1	1
53	не означает что	1	1
54	жизни то что	1	1
55	на самом деле	1	1
56	приводит нас к	1	1
