N	2gram	Ircho_Kome_2	ViktorSh
1	и в	26	2
2	том что	9	2
3	в том	11	2
4	в конце	2	2
5	ничуть не	2	1
6	тем более	1	1
7	в устах	1	1
8	здесь достаточно	1	1
9	в другом	1	1
10	хотя бы	2	1
11	и не	14	1
12	все время	2	1
13	и его	12	1
14	потому что	6	1
15	даже не	3	1
16	более чем	4	1
17	сводится к	1	1
18	один пример	1	1
19	впрочем не	1	1
20	поэтического творчества	1	1
21	самом деле	1	1
22	все это	3	1
23	от других	1	1
24	по поводу	3	1
25	именно в	1	1
26	главным образом	1	1
27	в их	3	1
28	в частности	4	1
29	так в	2	1
30	речи и	1	1
31	не одно	1	1
32	столь же	9	1
33	время в	1	1
34	же все	1	1
35	говоря о	1	1
36	в самом	4	1
37	только в	4	1
38	то же	3	1
39	других и	1	1
40	юноши в	1	1
41	ясно что	8	1
42	так как	4	1
43	в этом	10	1
44	да и	3	1
45	имеется в	1	1
46	чем больше	1	1
47	по существу	1	1
48	к этому	5	1
49	гораздо более	1	1
50	том же	1	1
