N	2gram	Berdyaev_M_2	Formalny
1	и в	46	38
2	в этом	20	27
3	т е	4	26
4	может быть	21	23
5	и его	5	21
6	и не	18	20
7	в самом	5	16
8	не в	9	15
9	прежде всего	12	15
10	не может	15	14
11	связи с	2	13
12	в нем	22	13
13	но и	15	13
14	в пределах	1	12
15	с тем	1	11
16	в том	3	11
17	с его	4	11
18	в его	5	10
19	и с	3	9
20	как и	13	9
21	на почве	3	9
22	не только	18	9
23	так и	4	8
24	точки зрения	2	8
25	что и	4	8
26	тем что	3	8
27	самом деле	1	8
28	в своей	5	7
29	по себе	2	7
30	что в	4	7
31	для него	18	7
32	с точки	1	7
33	лишь в	2	7
34	уже не	4	7
35	этом отношении	1	7
36	не могут	1	7
37	во втором	1	7
38	все эти	1	6
39	все время	2	6
40	хотя бы	7	6
41	а в	2	6
42	вместе с	2	6
43	то же	5	6
44	он не	10	6
45	только в	3	6
46	в этой	7	6
47	то что	5	6
48	и ее	1	6
49	а не	13	6
50	в ней	11	6
51	было бы	1	6
52	не было	11	6
53	бы в	2	5
54	и только	1	5
55	и для	7	5
56	должна быть	1	5
57	во всех	2	5
58	что же	2	5
59	еще более	2	5
60	говорить о	1	5
61	это и	3	5
62	с этим	1	5
63	в основе	2	5
64	если бы	3	5
65	по преимуществу	5	5
66	всего этого	1	5
67	и должно	3	5
68	что он	7	5
69	что они	3	4
70	лишь как	3	4
71	независимо от	1	4
72	ничего не	2	4
73	и теперь	1	4
74	оно не	2	4
75	входит в	1	4
76	высшей степени	3	4
77	и к	7	4
78	они не	4	4
79	к тому	5	4
80	в сущности	2	4
81	лишь для	1	4
82	в высшей	3	4
83	но в	10	4
84	что не	2	4
85	не о	2	4
86	как в	7	4
87	так как	8	4
88	как о	1	4
89	к этому	1	4
90	как бы	8	4
91	и здесь	6	3
92	в значительной	1	3
93	материал и	1	3
94	можно и	1	3
95	место в	2	3
96	жизни и	6	3
97	от этого	2	3
98	его с	2	3
99	значение и	1	3
100	для них	1	3
101	он становится	1	3
102	и все	5	3
103	к нему	2	3
104	что это	6	3
105	с проблемой	1	3
106	в какой	1	3
107	мы не	1	3
108	если в	1	3
109	того чтобы	4	3
110	это приводит	1	3
111	менее всего	3	3
112	его в	3	3
113	до известной	1	3
114	но все	1	3
115	того что	6	3
116	а лишь	2	3
117	смысла в	1	3
118	на самом	1	3
119	значительной степени	1	3
120	и прежде	1	3
121	в целом	1	3
122	не то	1	3
123	для того	5	3
124	роль в	1	3
125	хотя и	2	3
126	только и	4	3
127	а о	1	3
128	сам по	2	3
129	же как	3	3
130	и на	3	3
131	как к	2	3
132	быть и	2	3
133	с другой	1	3
134	его нельзя	2	3
135	от смысла	1	3
136	все это	1	3
137	была бы	1	3
138	и как	1	3
139	как ее	2	3
140	не есть	13	3
141	в которой	2	2
142	они были	3	2
143	у толстого	1	2
144	приводит к	1	2
145	от всякого	1	2
146	от всех	1	2
147	конце концов	1	2
148	в плане	1	2
149	сам он	2	2
150	не была	1	2
151	и то	1	2
152	не к	2	2
153	этими двумя	1	2
154	явления и	1	2
155	чтобы сделать	1	2
156	очень существенное	1	2
157	стоит перед	1	2
158	не по	1	2
159	есть лишь	17	2
160	не останется	1	2
161	было в	3	2
162	не так	3	2
163	в конце	5	2
164	та же	10	2
165	отношение к	8	2
166	то в	2	2
167	правда в	2	2
168	совсем не	5	2
169	от тех	1	2
170	с ним	3	2
171	превращается в	2	2
172	его не	2	2
173	потому что	12	2
174	в той	1	2
175	между тем	2	2
176	это не	5	2
177	никогда не	18	2
178	и других	2	2
179	в этих	2	2
180	должны были	1	2
181	не имеет	4	2
182	между двумя	1	2
183	из этого	1	2
184	ее в	2	2
185	что на	1	2
186	в чем	3	2
187	и от	3	2
188	в учении	1	2
189	ни в	3	2
190	во второй	1	2
191	находится в	1	2
192	ней все	1	2
193	сказать что	3	2
194	один из	5	2
195	должно быть	2	2
196	а все	1	2
197	же и	2	2
198	наоборот он	1	2
199	он был	9	2
200	вопроса о	4	2
201	не могли	1	2
202	не осуществляется	1	2
203	для этого	4	2
204	и тем	1	2
205	в котором	1	2
206	очень характерно	1	2
207	а к	1	2
208	то от	1	2
209	к другому	3	2
210	он в	3	2
211	со своей	1	2
212	они должны	1	2
213	тому что	4	2
214	нигде не	1	2
215	их в	1	2
216	и этим	2	2
217	между ними	1	2
218	в ее	1	2
219	она не	8	2
220	до конца	4	2
221	ее и	2	2
222	на этом	2	2
223	не будет	3	2
224	для всего	1	2
225	в такой	3	2
226	в развитии	1	2
227	уже в	2	2
228	в эпоху	1	2
229	формы и	1	2
230	ее как	1	2
231	борьбы и	1	2
232	и это	5	2
233	себе а	1	2
234	ни на	1	2
235	от его	2	2
236	все остальные	1	2
237	и более	1	2
238	но это	8	2
239	том что	4	2
240	можно будет	1	2
241	не находит	1	1
242	через то	1	1
243	и там	6	1
244	но такое	1	1
245	момент в	3	1
246	и борьбы	1	1
247	жизни а	2	1
248	происходит в	1	1
249	в себе	10	1
250	им как	1	1
251	в словах	1	1
252	это за	1	1
253	вывод что	1	1
254	но она	2	1
255	же не	1	1
256	им и	1	1
257	то я	1	1
258	это лишь	2	1
259	на деле	4	1
260	другому в	1	1
261	в другом	1	1
262	вопрос о	6	1
263	это все	2	1
264	должны быть	4	1
265	не ведет	1	1
266	но нельзя	1	1
267	в пределе	2	1
268	так называемого	1	1
269	но он	11	1
270	на их	1	1
271	из себя	1	1
272	любовь к	8	1
273	другого человека	2	1
274	того же	1	1
275	и глубже	2	1
276	то он	2	1
277	не сам	1	1
278	ибо все	1	1
279	для исследования	1	1
280	уже как	1	1
281	так же	6	1
282	отличается от	1	1
283	в русском	4	1
284	в более	2	1
285	нет в	4	1
286	для себя	1	1
287	только тогда	1	1
288	нас не	2	1
289	никто не	1	1
290	как на	1	1
291	себе в	2	1
292	к этим	1	1
293	и всецело	1	1
294	и хочет	1	1
295	учения о	1	1
296	замыкается в	2	1
297	на своем	1	1
298	же что	2	1
299	многие из	1	1
300	отношение которое	1	1
301	самим собой	1	1
302	идеей и	2	1
303	иной раз	1	1
304	основы для	1	1
305	и тот	2	1
306	ведет к	13	1
307	связь с	1	1
308	на то	1	1
309	на эту	1	1
310	он совсем	1	1
311	с самим	3	1
312	пришли к	1	1
313	сих пор	3	1
314	органической связи	1	1
315	в каждом	3	1
316	не для	3	1
317	то чтобы	1	1
318	увидим что	2	1
319	и во	3	1
320	действие романа	1	1
321	к которому	3	1
322	иное как	3	1
323	и творческого	1	1
324	бы не	2	1
325	это будет	1	1
326	какой они	1	1
327	слова для	1	1
328	так что	2	1
329	и против	3	1
330	борьбы за	1	1
331	не дает	1	1
332	из моментов	1	1
333	во всякой	1	1
334	если он	2	1
335	и все-таки	1	1
336	а от	2	1
337	те же	5	1
338	в нашем	7	1
339	к самому	2	1
340	и хотели	1	1
341	его к	1	1
342	иванов и	1	1
343	тут не	2	1
344	в противоречии	1	1
345	отношением к	2	1
346	самостоятельное значение	1	1
347	смысле этого	1	1
348	на что	1	1
349	по которой	1	1
350	его до	2	1
351	есть не	5	1
352	который был	2	1
353	и проблема	1	1
354	например о	1	1
355	сам не	2	1
356	к такому	1	1
357	когда это	1	1
358	всего как	1	1
359	самим собою	2	1
360	оно входит	1	1
361	со словами	1	1
362	все те	1	1
363	к отрицанию	5	1
364	проникает в	1	1
365	тем в	1	1
366	как не	1	1
367	первые два	1	1
368	представляется нам	1	1
369	важное для	1	1
370	но если	1	1
371	но они	1	1
372	в заслугу	1	1
373	могут оправдать	1	1
374	остается в	1	1
375	к ней	2	1
376	но ни	1	1
377	сознания в	1	1
378	к своему	2	1
379	что иное	3	1
380	правда и	1	1
381	слова он	1	1
382	который будет	1	1
383	за ней	1	1
384	в россии	3	1
385	в природе	1	1
386	достоевский и	1	1
387	сама по	1	1
388	и сам	1	1
389	отличное от	1	1
390	которые в	2	1
391	духа в	2	1
392	всех своих	1	1
393	в какие	1	1
394	до сих	3	1
395	лишь один	2	1
396	они и	4	1
397	сходства с	1	1
398	что если	1	1
399	у нас	11	1
400	требует от	1	1
401	связанная с	1	1
402	но эти	1	1
403	творчества не	1	1
404	они в	1	1
405	связана с	7	1
406	тот же	2	1
407	за пределы	1	1
408	быть лишь	2	1
409	мы должны	1	1
410	как он	3	1
411	только с	3	1
412	быть при	1	1
413	он лишь	2	1
414	лишь одно	2	1
415	во всем	5	1
416	да и	2	1
417	его отношение	4	1
418	но на	2	1
419	и без	1	1
420	и поэтому	2	1
421	исключительно как	1	1
422	мы увидим	2	1
423	к какому	1	1
424	такого рода	2	1
425	отрывается от	1	1
426	моментов в	1	1
427	характерно для	1	1
428	случилось с	1	1
429	в первых	1	1
430	ему как	2	1
431	о чем	1	1
432	на них	1	1
433	той же	3	1
434	их и	1	1
435	лежит в	1	1
436	в них	3	1
437	момент эволюции	1	1
438	вот почему	2	1
439	только потому	1	1
440	этого слова	1	1
441	степени как	1	1
442	же такое	1	1
443	и та	2	1
444	мере в	1	1
445	той мере	1	1
446	не принимает	1	1
447	не существует	3	1
448	которых не	1	1
449	него нет	5	1
450	от этой	2	1
451	у всех	2	1
452	всего может	1	1
453	и именно	1	1
454	и обогатиться	1	1
455	не от	2	1
456	не что	3	1
457	равно что	2	1
458	очень важное	2	1
459	есть проблема	1	1
460	для русского	3	1
461	он есть	1	1
462	думать что	4	1
463	он весь	1	1
464	или во	1	1
465	нельзя было	2	1
466	с собой	2	1
467	в действительности	2	1
468	чтобы этим	1	1
469	и эта	2	1
470	была совершенно	1	1
471	в своих	3	1
472	ведь и	1	1
473	не из	1	1
474	все они	1	1
475	вообразить себе	1	1
476	и нет	3	1
477	о том	3	1
478	к одному	1	1
479	но что	1	1
480	все равно	3	1
481	тогда и	1	1
482	своей основной	1	1
483	и всю	1	1
484	чем в	2	1
485	когда в	1	1
486	которая не	1	1
487	целый ряд	1	1
488	и есть	8	1
489	бытия и	1	1
490	должен быть	4	1
491	он должен	1	1
492	был бы	1	1
493	бы заменить	1	1
494	которых он	1	1
495	с другим	3	1
496	и достоевский	8	1
497	как будто	2	1
498	таково же	1	1
499	лишь его	1	1
500	можно было	2	1
501	духом и	1	1
502	начала что	1	1
503	из первых	1	1
504	все в	1	1
505	дальше и	2	1
506	природы о	1	1
507	она была	1	1
508	человека на	2	1
509	другая сторона	1	1
510	чем не	2	1
511	он уже	2	1
512	он стоит	1	1
513	е в	2	1
514	но для	2	1
515	той или	1	1
516	в своем	8	1
517	в свою	4	1
