N	2gram	Berdyaev_M_1	StatiiOP
1	и в	28	25
2	в этом	20	24
3	в том	6	20
4	что в	10	19
5	тем что	4	19
6	может быть	30	19
7	что он	10	19
8	том что	3	15
9	в этой	6	14
10	в его	9	12
11	то что	5	12
12	не только	29	12
13	так что	1	11
14	в этих	4	11
15	прежде всего	10	10
16	и не	11	10
17	но и	25	9
18	у него	17	9
19	и т	1	8
20	это было	1	8
21	т е	2	8
22	все это	6	8
23	в своих	1	8
24	о том	2	8
25	не может	28	7
26	точки зрения	4	7
27	в то	2	7
28	что такое	1	7
29	это не	5	7
30	с этим	3	7
31	было бы	10	7
32	место в	2	6
33	т п	1	6
34	как бы	2	6
35	не в	16	6
36	интересно что	1	6
37	а в	4	6
38	между тем	1	6
39	в конце	7	6
40	в россии	2	6
41	как в	2	6
42	и на	6	6
43	только в	6	6
44	в области	1	6
45	в русской	1	6
46	так и	1	5
47	об этом	1	5
48	ответ на	1	5
49	того что	7	5
50	потому что	16	5
51	говорил что	1	5
52	связано с	2	5
53	мы имеем	1	5
54	в них	4	5
55	в котором	8	5
56	он не	24	5
57	у шекспира	1	5
58	говорит что	1	5
59	но в	7	5
60	а не	25	5
61	и это	12	5
62	в которой	6	4
63	можно назвать	1	4
64	все же	2	4
65	во всяком	1	4
66	как и	5	4
67	отличается от	2	4
68	и для	2	4
69	это есть	3	4
70	время как	2	4
71	в жизни	3	4
72	в каком	2	4
73	к нему	7	4
74	действующих лиц	1	4
75	в смысле	1	4
76	в центре	2	4
77	и с	3	4
78	в ней	15	4
79	у нас	5	4
80	не было	18	4
81	в течение	1	4
82	отношение к	4	4
83	в начале	2	4
84	к ней	4	4
85	и к	2	4
86	а как	2	4
87	этой трагедии	1	4
88	лишь в	6	4
89	в своей	15	4
90	связана с	2	4
91	сказать что	2	4
92	относится к	2	4
93	ничего не	3	4
94	всяком случае	1	4
95	если бы	2	4
96	xix века	4	4
97	и др	1	4
98	мы видим	2	4
99	с тем	9	4
100	то время	2	4
101	для россии	1	4
102	всего в	2	4
103	на протяжении	2	4
104	в каждом	1	4
105	но это	1	4
106	все эти	2	3
107	пушкина но	1	3
108	и наконец	1	3
109	конце концов	2	3
110	но он	9	3
111	он хотел	2	3
112	нет в	4	3
113	я и	1	3
114	к которому	1	3
115	это связано	1	3
116	не так	3	3
117	что я	1	3
118	в их	4	3
119	находит свое	1	3
120	его как	2	3
121	связан с	1	3
122	для него	11	3
123	в творчестве	10	3
124	и его	9	3
125	с этой	4	3
126	и что	2	3
127	он был	14	3
