N	2gram	Losev_Vlad_3	Tragedij
1	и в	40	18
2	в году	10	9
3	в этом	16	9
4	не только	25	8
5	он сам	2	7
6	и с	9	7
7	и на	6	7
8	может быть	8	7
9	как бы	3	7
10	и не	25	7
11	но в	4	6
12	и его	10	6
13	же время	2	6
14	что он	5	6
15	у него	24	6
16	то же	4	5
17	все же	4	5
18	что это	9	5
19	это не	3	5
20	как и	7	5
21	несмотря на	7	5
22	в то	7	5
23	в дальнейшем	4	5
24	так и	6	5
25	это очень	1	5
26	не может	14	5
27	к жизни	1	5
28	он всегда	2	4
29	я не	3	4
30	еще не	4	4
31	в себе	9	4
32	в целом	2	4
33	в этой	8	4
34	в нем	3	4
35	об этом	6	4
36	том что	18	4
37	и что	8	4
38	но и	18	4
39	x –	1	4
40	и даже	6	4
41	прежде всего	10	4
42	так же	8	4
43	но это	6	4
44	все это	1	4
45	что в	17	4
46	и все	4	4
47	то что	28	4
48	в мире	2	3
49	и он	1	3
50	отнюдь не	5	3
51	как в	1	3
52	в своем	8	3
53	и как	7	3
54	все эти	5	3
55	при этом	3	3
56	то есть	24	3
57	должно быть	5	3
58	тем самым	2	3
59	что с	1	3
60	о чем	1	3
61	с ее	1	3
62	и сам	1	3
63	iii в	1	3
64	мог бы	4	3
65	жизнь и	3	3
66	к нему	3	3
67	в его	14	3
68	один из	1	3
69	уже в	3	3
70	для него	8	3
71	в конце	12	3
72	как будто	1	3
73	как это	4	3
74	в основном	4	3
75	из самых	1	2
76	она все	1	2
77	и за	2	2
78	никогда не	11	2
79	и то	9	2
80	он был	2	2
81	не был	8	2
82	с его	2	2
83	отличие от	3	2
84	тут же	5	2
85	не просто	10	2
86	так что	14	2
87	как говорит	2	2
88	перед нами	3	2
89	говорит что	1	2
90	в самом	4	2
91	бы и	4	2
92	то и	2	2
93	он не	8	2
94	что она	2	2
95	но все	3	2
96	что все	7	2
97	его в	2	2
98	знает что	1	2
99	в глазах	1	2
100	в это	2	2
101	ни в	10	2
102	с тем	7	2
103	не мог	6	2
104	любви и	1	2
105	я увидел	1	2
106	в отличие	3	2
107	вопрос о	4	2
108	но эта	1	2
109	не в	3	2
110	что этот	3	2
111	раз и	8	2
112	одна из	1	2
113	не имеет	4	2
114	не могут	2	2
115	его за	1	2
116	к тому	7	2
117	и это	6	2
