N	3gram	Tiupa_Narr_1	Myslijsy
1	в том что	8	16
2	по отношению к	6	5
3	сам по себе	1	5
4	по крайней мере	1	5
5	то же время	3	5
6	в то же	3	5
7	с другой стороны	4	4
8	по себе а	1	4
9	не только в	2	4
10	далеко не все	1	3
11	более или менее	2	3
12	до сих пор	1	3
13	может быть только	1	3
14	с одной стороны	7	3
15	в свою очередь	3	3
16	само по себе	1	3
17	тем не менее	3	3
18	не может быть	5	3
19	то есть к	1	3
20	только потому что	1	2
21	в этом последнем	1	2
22	подобно тому как	2	2
23	том что он	1	2
24	в том же	1	2
25	том что оно	1	2
26	в таком случае	2	2
27	в этом отношении	3	2
28	в том чтобы	1	2
29	в первом случае	2	2
30	именно в том	2	2
31	так и в	1	2
32	как и в	1	2
33	можно сказать что	4	2
34	в себе не	1	2
35	точки зрения и	1	1
36	между людьми и	1	1
37	могли бы быть	1	1
38	в свое время	1	1
39	и столь же	1	1
40	а не в	2	1
41	самой по себе	1	1
42	на самом деле	1	1
43	одной из этих	1	1
44	в себе самом	1	1
45	в самом деле	1	1
46	то же самое	1	1
47	это дает нам	1	1
48	не подлежит сомнению	1	1
49	сами по себе	2	1
50	подлежит сомнению и	1	1
51	и на чем	1	1
52	взгляда на мир	1	1
53	несмотря на свою	1	1
54	между тем что	1	1
55	значении этого слова	2	1
56	и то что	1	1
57	и не дает	1	1
58	по себе не	1	1
59	в данном случае	4	1
60	в действительности и	1	1
61	в первый раз	1	1
62	по всей вероятности	2	1
63	и тот же	1	1
64	не имеет для	1	1
65	что именно в	1	1
66	на чем он	1	1
67	а не как	1	1
68	так или иначе	2	1
69	лично для себя	1	1
70	что оно есть	1	1
71	он уже не	1	1
72	то по крайней	1	1
73	один из этих	1	1
74	один и тот	1	1
75	быть не только	1	1
76	только то что	1	1
77	здесь не только	1	1
78	что не только	1	1
79	которая не могла	1	1
80	его жизни и	1	1
81	далеко не всегда	1	1
82	произведения не в	1	1
83	и тем самым	3	1
84	о том что	6	1
85	может и не	1	1
86	друг от друга	1	1
87	тем более что	1	1
88	как мы уже	1	1
89	с другом и	1	1
90	принадлежат к одному	1	1
91	тем самым мы	1	1
92	легко может быть	1	1
93	друг с другом	1	1
94	все то что	1	1
95	здесь как и	1	1
96	на первый взгляд	2	1
97	к тому же	4	1
98	вследствие чего в	1	1
99	на наш взгляд	1	1
100	как мы видели	1	1
