N	2gram	Tiupa_Lite_3	TeoriaLi
1	в мире	16	24
2	не только	14	18
3	в качестве	5	17
4	тогда как	17	16
5	и не	22	16
6	я в	7	16
7	а в	5	14
8	состоит в	6	13
9	и в	16	13
10	в частности	11	13
11	то есть	5	12
12	эстетического отношения	2	12
13	так и	9	12
14	может быть	12	12
15	в этом	14	11
16	представляет собой	2	11
17	при этом	15	11
18	в том	12	11
19	но не	4	10
20	и его	6	10
21	в тексте	4	10
22	а не	12	10
23	то же	9	9
24	в его	6	9
25	по отношению	4	8
26	такого рода	10	8
27	своего рода	10	8
28	произведение искусства	6	8
29	но и	14	8
30	отношению к	4	8
31	что в	2	8
32	отличие от	5	7
33	в себе	6	7
34	том что	8	7
35	точки зрения	7	7
36	в отличие	5	7
37	в то	9	7
38	по своей	3	7
39	во второй	2	7
40	только в	7	7
41	себя в	7	7
42	как это	3	7
43	в данном	4	7
44	еще не	6	6
45	с его	6	6
46	но в	3	6
47	в первой	2	6
48	лишь в	5	6
49	место в	4	6
50	в русской	1	6
51	же время	7	6
52	присутствия в	6	6
53	как бы	8	6
54	жизни как	2	5
55	лирическая героиня	2	5
56	данном случае	4	5
57	в рамках	4	5
58	в своем	1	5
59	в самом	3	5
60	он не	1	5
61	в принципе	2	5
62	как и	5	5
63	не в	10	5
64	однако в	4	5
65	тем самым	7	5
66	а а	1	5
67	коммуникативного события	5	5
68	в нем	2	5
69	в ее	5	5
70	или иной	2	5
71	а также	4	5
72	между тем	3	5
73	и одновременно	2	5
74	уже не	3	5
75	не случайно	3	5
76	с другой	6	5
77	как в	5	5
78	я с	3	5
79	в искусстве	1	5
80	героя и	1	5
81	по преимуществу	1	4
82	говорить о	1	4
83	как правило	1	4
84	конечном счете	1	4
85	а и	2	4
86	отношение к	2	4
87	субъекта и	5	4
88	хотя и	4	4
89	всего лишь	5	4
90	то что	12	4
91	художественного впечатления	1	4
92	литературного произведения	1	4
93	в слове	3	4
94	в ходе	1	4
95	в своей	7	4
96	в их	1	4
97	или менее	1	4
98	не столько	1	4
99	художественного мира	1	4
100	не менее	2	4
101	эстетических отношений	1	4
102	эстетический объект	3	4
103	личности в	3	4
104	в стихотворении	6	4
105	читателя в	1	4
106	можно сказать	2	4
107	в конечном	1	4
108	художественного восприятия	1	4
109	и ее	2	4
110	но он	1	4
111	и т.п	6	4
112	и а	3	4
113	мира и	2	4
114	лирического героя	7	4
115	в свою	2	4
116	на смену	3	4
117	не знает	2	4
118	сказать что	1	4
119	не может	8	4
120	более или	1	4
121	и то	1	3
122	между двумя	1	3
123	являет собой	1	3
124	например в	3	3
125	художественного произведения	2	3
126	совпадает с	1	3
127	в сторону	3	3
128	и т.д	1	3
129	герой не	1	3
130	в акте	1	3
131	в художественном	1	3
132	перед нами	1	3
133	и к	3	3
134	в точке	1	3
135	в противоположность	2	3
136	в нашем	1	3
137	в этой	8	3
138	и вот	2	3
139	самим собой	3	3
140	в лирике	1	3
141	его в	2	3
142	системе ценностей	1	3
143	по мысли	6	3
144	и сам	2	3
145	в этих	1	3
146	в текстах	1	3
147	художественного творчества	2	3
148	все прочие	1	3
149	тем не	1	3
150	в отношении	1	3
151	взглянула на	1	3
152	и внешней	1	3
153	никогда не	4	3
154	как раз	2	3
155	потому что	3	3
156	лирический герой	5	3
157	эстетического объекта	6	3
158	той или	2	3
159	говоря словами	3	3
160	свою очередь	1	3
161	другой стороны	2	3
162	так в	1	3
163	в другом	6	3
164	о ней	1	3
165	входит в	4	3
166	творческого акта	1	3
167	того что	9	3
168	а с	1	3
169	в итоге	1	3
170	для него	2	3
171	с ее	3	3
172	причастности к	6	3
173	именно в	5	3
174	прежде всего	3	3
175	в соответствии	3	3
176	его эстетической	1	3
177	художественного целого	1	3
178	в строке	1	3
179	и потому	2	3
180	своей эстетической	1	3
181	лирического я	1	3
182	в эстетический	1	3
183	мира в	3	3
184	объекта и	2	3
185	в основе	5	3
186	ни к	3	3
187	отношении к	1	3
188	я и	10	2
189	была бы	1	2
190	отношения к	3	2
191	того же	2	2
192	это и	1	2
193	перед лицом	4	2
194	в присутствии	2	2
195	субъект и	2	2
196	я как	4	2
197	факторов художественного	1	2
198	такой деятельности	1	2
199	этого текста	2	2
200	принадлежит к	1	2
201	на себя	2	2
202	я не	2	2
203	в целом	5	2
204	но напротив	1	2
205	в сочетании	1	2
206	жизни однако	1	2
207	в чем	1	2
208	способность к	1	2
209	у него	1	2
210	человеческих отношений	1	2
211	за пределы	1	2
212	что они	1	2
213	сама по	1	2
214	данный момент	1	2
215	и как	3	2
216	это тоже	1	2
217	самом начале	1	2
218	видения мира	1	2
219	так или	2	2
220	право на	2	2
221	писал бахтин	1	2
222	в году	5	2
223	здесь мы	1	2
224	о в	1	2
225	по два	1	2
226	русской поэзии	1	2
227	это не	5	2
228	и иных	1	2
229	и тем	3	2
230	на уровне	1	2
231	соответствии с	5	2
232	вовсе не	1	2
233	и того	1	2
234	как способу	1	2
235	лирическое я	1	2
236	сочетании с	1	2
237	нас самих	2	2
238	с точки	3	2
239	от себя	2	2
240	а.н веселовского	2	2
241	высказывания и	1	2
242	по себе	2	2
243	даже в	4	2
244	автора и	2	2
245	и притом	1	2
246	для меня	2	2
247	в беспрецедентности	1	2
248	только не	1	2
249	мышления и	1	2
250	однако если	3	2
251	слова как	1	2
252	лирическую героиню	1	2
253	с читателем	1	2
254	не принадлежит	1	2
255	как будто	4	2
256	и для	4	2
257	эстетического адресата	1	2
258	следует признать	2	2
259	для такого	2	2
260	моя жизнь	1	2
261	и о	1	2
262	здесь не	2	2
263	самим собою	1	2
264	как способ	1	2
265	не с	2	2
266	к его	1	2
267	если бы	2	2
268	коммуникативное событие	4	2
269	в виду	1	2
270	о том	6	2
271	доминирует в	1	2
272	особого рода	5	2
273	времени в	1	2
274	восходит к	1	2
275	к нему	1	2
276	во всех	2	2
277	или иначе	2	2
278	однако с	1	2
279	аналогичным образом	1	2
280	во втором	2	2
281	вслед за	3	2
282	в литературе	1	2
283	деятельность художника	1	2
284	мире и	1	2
285	с одной	4	2
286	личного самоопределения	1	2
287	этой системе	1	2
288	эстетической деятельности	2	2
289	в прозе	1	2
290	в конце	2	2
291	во всей	2	2
292	автора как	1	2
293	внутреннего мира	1	2
294	и даже	2	2
295	со стороны	7	2
296	в области	3	2
297	субъекта жизни	2	2
298	а именно	5	2
299	себя и	2	2
300	одной стороны	4	2
301	а на	2	2
302	не на	1	2
303	о чем	3	2
304	и адресата	2	2
305	на фоне	1	2
306	вместе с	5	2
307	так же	2	2
308	текста в	1	2
309	жизни но	1	2
310	к жизни	2	2
311	другого я	2	2
312	в той	1	2
313	духовного общения	1	2
314	автором и	2	2
315	произведения искусства	1	2
316	эстетического субъекта	7	2
317	к тому	6	2
318	собственно говоря	1	2
319	в литературной	1	2
320	в художественной	1	2
321	жизни в	4	2
322	одной из	1	2
323	произведении искусства	1	2
324	в романе	3	2
325	что он	5	2
326	культуры в	1	2
327	и состоит	1	2
328	жизни оказывается	1	2
329	искусство есть	1	1
330	искусства слова	1	1
331	с жизнью	4	1
332	начинается с	1	1
333	и души	1	1
334	что произведение	1	1
335	е годы	9	1
336	идет о	1	1
337	и есть	1	1
338	не признает	1	1
339	акте эстетического	1	1
340	в иных	3	1
341	и до	1	1
342	из его	1	1
343	свое место	3	1
344	едва ли	3	1
345	одним из	4	1
346	бальзак в	1	1
347	той же	3	1
348	искусству как	1	1
349	от художественного	1	1
350	жизни по	1	1
351	и себя	1	1
352	вопрос о	2	1
353	из своих	1	1
354	одиночество но	1	1
355	в каждый	1	1
356	на холсте	1	1
357	не вполне	2	1
358	позиция лирического	1	1
359	под диктовку	1	1
360	и со	1	1
361	личности с	3	1
362	не знают	1	1
363	художественности как	1	1
364	душа свободна	1	1
365	предстает как	2	1
366	момент в	1	1
367	который может	1	1
368	и на	2	1
369	индивидуальность однако	1	1
370	данную ему	1	1
371	хх веке	3	1
372	столь же	1	1
373	время в	2	1
374	бы то	2	1
375	эстетический дискурс	1	1
376	тем как	1	1
377	во внешнем	1	1
378	как система	1	1
379	такая картина	1	1
380	стихотворения в	1	1
381	легко может	2	1
382	бы свой	1	1
383	если в	1	1
384	искусство в	2	1
385	высшей ценностью	1	1
386	охарактеризовать как	1	1
387	с собою	1	1
388	значение для	1	1
389	ними а	1	1
390	лирической героини	1	1
391	центрального героя	1	1
392	в е	8	1
393	картины жизни	1	1
394	на то	2	1
395	еще один	2	1
396	отнюдь не	3	1
397	в истории	1	1
398	с эпохи	1	1
399	в центре	1	1
400	сверхсхемных ударения	1	1
401	независимо от	1	1
402	присутствии эстетического	1	1
403	встречи с	1	1
404	и объекта	1	1
405	что касается	1	1
406	обращения к	1	1
407	и где	1	1
408	в исполнении	1	1
409	в одноименной	1	1
410	сознания в	1	1
411	могли бы	2	1
412	что по	1	1
413	создает эффект	1	1
414	эстетической природы	1	1
415	заветная черта	1	1
416	и автора	1	1
417	заполнить собою	1	1
418	искусство и	1	1
419	или иную	1	1
420	то в	3	1
421	еще на	2	1
422	о тебе	1	1
423	состоит как	1	1
424	он в	2	1
425	большей части	2	1
426	жизни ср	1	1
427	что автор	1	1
428	цельность как	1	1
429	раз в	2	1
430	присутствия личности	1	1
431	ее как	1	1
432	двух других	1	1
433	индивидуального я	1	1
434	в случае	2	1
435	вследствие этого	2	1
436	духовной культуры	1	1
437	к эстетическому	1	1
438	жизнью и	1	1
439	на его	3	1
440	исходит из	1	1
441	к искусству	1	1
442	своего другого	4	1
443	между субъективной	1	1
444	частного бытия	1	1
445	ключ к	1	1
446	все перечисленные	1	1
447	при виде	1	1
448	всякого эстетического	1	1
449	человеческого духа	3	1
450	в понимании	1	1
451	свою собственную	1	1
452	два сверхсхемных	1	1
453	общения людей	1	1
454	художественного высказывания	1	1
455	в силу	1	1
456	по существу	4	1
457	силу своей	1	1
458	в первом	2	1
459	том числе	3	1
460	не друг	1	1
461	правило приобретает	1	1
462	содержит в	1	1
463	чтобы в	1	1
464	горького мать	1	1
465	подобно тому	2	1
466	когда на	1	1
467	с юмором	1	1
468	такое искусство?	1	1
469	не бывает	1	1
470	по его	1	1
471	бы они	1	1
472	то ни	2	1
473	этом втором	1	1
474	свое имя	1	1
475	речь в	1	1
476	внутренней форме	1	1
477	уход из	1	1
478	а по	2	1
479	времени и	1	1
480	творчества он	1	1
481	второй половины	1	1
482	сознания к	1	1
483	первую очередь	1	1
484	уединенной личности	1	1
485	его личности	1	1
486	ответственность за	2	1
487	к мировой	1	1
488	форма эстетических	1	1
489	было бы	2	1
490	влюбленности и	1	1
491	с субъектом	1	1
492	весь мир	1	1
493	обращаются к	1	1
494	остаться самим	1	1
495	социалистического реализма	1	1
496	жизни что	1	1
497	в них	1	1
498	нет в	1	1
499	она и	2	1
500	в близости	1	1
501	как высшей	1	1
502	с тем	1	1
503	не узнает	1	1
504	не всегда	2	1
505	он и	2	1
506	все моменты	1	1
507	рода и	1	1
508	его носителя	1	1
509	как целого	1	1
510	ведет к	1	1
511	в чистом	1	1
512	с бытием	1	1
513	к ситуации	1	1
514	воспринимающего субъекта	1	1
515	собой как	1	1
516	остается в	1	1
517	эстетическим субъектом	2	1
518	же я	1	1
519	с я	1	1
520	данного стихотворения	1	1
521	о ком	1	1
522	с ума	1	1
523	от своего	1	1
524	становится его	1	1
525	индивидуальной жизни	1	1
526	время оказывается	1	1
527	встречи-разлуки ахматова	1	1
528	не становится	3	1
529	внешнюю жизнь	1	1
530	в котором	1	1
531	к предмету	2	1
532	которое должно	1	1
533	ритмико-интонационный строй	1	1
534	эстетический адресат	1	1
535	на свою	3	1
536	сверхличному содержанию	1	1
537	не как	2	1
538	действительность в	1	1
539	на каждого	1	1
540	и внутренних	1	1
541	присутствие я	1	1
