N	2gram	Propp_Isto_7	EvropaiC
1	таким образом	7	32
2	в том	7	31
3	и в	24	24
4	том что	10	20
5	все эти	2	19
6	не может	14	18
7	то что	7	17
8	может быть	14	15
9	все же	9	15
10	точки зрения	4	13
11	самом деле	1	12
12	в своем	1	12
13	до сих	2	12
14	в этом	12	12
15	сих пор	3	12
16	с этим	2	11
17	все это	8	11
18	во всех	7	10
19	по отношению	1	10
20	так и	5	10
21	мы знаем	2	10
22	как бы	4	10
23	отношению к	1	10
24	все что	1	10
25	того же	2	9
26	на то	3	9
27	при этом	4	9
28	как и	6	9
29	что в	13	9
30	в самом	2	8
31	с точки	1	8
32	знаем что	3	8
33	не в	9	8
34	ясно что	1	8
35	если бы	1	8
36	так же	6	8
37	и все	6	8
38	из этих	3	7
39	в силу	2	7
40	о которых	1	7
41	или менее	1	7
42	не менее	5	7
43	по существу	4	7
44	к тому	1	7
45	для этого	1	7
46	о том	9	7
47	и что	10	7
48	что он	21	7
49	для того	1	7
50	но и	11	7
51	приобщение к	1	7
52	и не	4	7
53	более или	1	7
54	из этого	1	7
55	должна быть	1	6
56	еще не	8	6
57	и на	2	6
58	тогда как	3	6
59	в этой	1	6
60	в сознании	1	6
61	и при	1	6
62	с ним	5	6
63	что и	8	6
64	того что	6	6
65	только в	6	6
66	все они	1	6
67	так что	3	6
68	так как	8	6
69	мы можем	4	6
70	с другой	9	6
71	вместе с	7	6
72	отличается от	2	6
73	как на	1	6
74	между двумя	1	5
75	и к	1	5
76	но в	5	5
77	в которой	2	5
78	что это	6	5
79	в целом	1	5
80	не только	21	5
81	и если	3	5
82	но все	4	5
83	не будет	2	5
84	и с	1	5
85	на все	1	5
86	его в	3	5
87	и без	1	5
88	в то	2	5
89	как будто	1	5
90	что при	2	5
91	в пользу	1	5
92	в его	1	5
93	этих народов	1	5
94	потому что	9	5
95	и их	1	5
96	у него	10	5
97	именно в	1	5
98	далеко не	1	5
99	ничем не	2	5
100	другой стороны	8	5
101	по своему	1	5
102	и от	2	5
103	к этому	2	5
104	одним из	1	4
105	и то	1	4
106	народ и	1	4
107	то же	8	4
108	мы уже	4	4
109	та же	2	4
110	совершенно так	1	4
111	между собой	1	4
112	что его	2	4
113	отношение к	5	4
114	хотя и	3	4
115	ни один	1	4
116	он не	6	4
117	всех этих	6	4
118	в одну	2	4
119	из них	2	4
120	должно быть	1	4
121	в их	4	4
122	оказывается что	2	4
123	выше мы	3	4
124	тем не	4	4
125	других народов	1	4
126	из которых	1	4
127	что эта	1	4
128	связи с	3	4
129	в дальнейшем	3	4
130	никогда не	4	4
131	на вопрос	4	4
132	выше и	2	4
133	в народе	1	4
134	представление об	5	4
135	и у	2	4
136	в виде	1	4
137	не так	2	4
138	в конце	3	4
139	а с	1	4
140	не могут	2	4
141	в состоянии	4	4
142	этом случае	1	4
143	мы должны	4	4
144	хотя бы	1	4
145	в таком	1	4
146	как известно	1	3
147	же как	4	3
148	вопрос о	3	3
149	но по	2	3
150	не вполне	3	3
151	в данном	4	3
152	очевидно что	1	3
153	которые не	2	3
154	еще больше	1	3
155	что по	2	3
156	и наконец	3	3
157	в тех	5	3
158	к которой	2	3
159	это представление	2	3
160	в нем	6	3
161	на земле	2	3
162	и по	3	3
163	и может	1	3
164	они должны	2	3
165	в совершенно	1	3
166	это не	10	3
167	в жизни	1	3
168	с тем	1	3
169	в этих	13	3
170	что если	1	3
171	представление о	3	3
172	только те	1	3
173	что их	1	3
174	для нас	6	3
175	в разных	1	3
176	во всем	2	3
177	от того	1	3
178	должны быть	3	3
179	и это	2	3
180	то ни	1	3
181	данном случае	3	3
182	с одной	5	3
183	тот же	2	3
184	очень много	2	3
185	конечно не	2	3
186	в начале	1	3
187	при помощи	3	3
188	народа но	1	3
189	прежде всего	2	3
190	есть начало	1	3
191	же не	1	3
192	в связи	2	3
193	и потому	1	3
194	случаях когда	4	3
195	ее и	1	3
196	от него	3	3
197	тем более	2	3
198	только что	1	3
199	а в	10	3
200	что мы	3	3
201	можно назвать	1	3
202	ту же	1	2
203	от своей	1	2
204	в котором	2	2
205	что эти	2	2
206	со своей	2	2
207	по его	2	2
208	теперь мы	1	2
209	и ее	2	2
210	мы и	1	2
211	же что	2	2
212	в ней	1	2
213	от себя	1	2
214	бы то	1	2
215	тем как	1	2
216	заметим что	1	2
217	только тогда	1	2
218	совершенно ясно	4	2
219	существование в	1	2
220	что они	3	2
221	части в	1	2
222	и там	2	2
223	если он	3	2
224	что она	5	2
225	он все	1	2
226	том чтобы	3	2
227	из него	1	2
228	к другу	1	2
229	нечего и	1	2
230	на поверхность	1	2
231	в них	3	2
232	со своими	1	2
233	и уже	1	2
