N	3gram	Savitsky_P_1	VrazhdaK
1	то же время	7	4
2	в то же	7	4
3	с точки зрения	3	2
4	но в то	1	2
5	не может быть	1	2
6	в том что	4	2
7	в – годах	1	1
8	далеко не все	1	1
9	гоголя и достоевского	1	1
10	в этом смысле	1	1
11	тем более что	1	1
12	и не может	1	1
13	не было бы	1	1
14	и то что	1	1
15	и в то	2	1
16	так же как	1	1
17	в известном смысле	1	1
18	и в этом	1	1
19	не только как	1	1
20	во всяком случае	1	1
21	с другой стороны	1	1
22	заключается в том	2	1
23	что из всех	1	1
24	но в этом	1	1
25	что уже в	1	1
