N	3gram	Tiupa_Narr_1	VLabPisa
1	и т д	1	15
2	в этом отношении	3	13
3	с другой стороны	1	8
4	не может быть	4	8
5	по отношению к	3	7
6	более или менее	1	6
7	в зависимости от	2	5
8	то же время	4	5
9	в конечном счете	1	5
10	в то же	4	5
11	в связи с	2	4
12	можно сказать что	2	4
13	в том что	5	4
14	и в то	1	3
15	большей или меньшей	1	3
16	о том что	2	3
17	к тому что	1	3
18	которая не может	1	2
19	в конечном итоге	1	2
20	подобно тому как	3	2
21	в том числе	1	2
22	до сих пор	2	2
23	только то что	1	2
24	и не может	1	2
25	по крайней мере	1	2
26	с одной стороны	1	2
27	в результате чего	1	2
28	в большей или	1	2
29	из них не	1	2
30	во всяком случае	2	2
31	в этом и	3	2
32	в частности в	1	2
33	том числе и	1	2
34	для того чтобы	3	2
35	во всех его	1	2
36	бы не было	1	2
37	бросается в глаза	1	1
38	сад и в	1	1
39	реальной действительности как	1	1
40	в той или	1	1
41	это то что	1	1
42	можно свести к	1	1
43	как один из	1	1
44	что один из	1	1
45	в самом деле	2	1
46	видел во сне	2	1
47	в соответствии с	4	1
48	что для него	1	1
49	же как и	1	1
50	как это было	1	1
51	как и все	1	1
52	именно в этом	1	1
53	сами по себе	2	1
54	из которых он	1	1
55	но и в	2	1
56	он и не	1	1
57	сознании а не	1	1
58	не отличается от	1	1
59	может быть и	1	1
60	чем иным как	2	1
61	как если бы	2	1
62	не подлежит сомнению	1	1
63	одно и то	2	1
64	в ней не	1	1
65	в данном случае	8	1
66	в качестве материала	1	1
67	не только в	6	1
68	и не по	1	1
69	то же самое	2	1
70	и то же	2	1
71	для проникновения в	1	1
72	одна из них	1	1
73	имеем дело с	2	1
74	об этом свидетельствует	1	1
75	с большей или	1	1
76	следует подчеркнуть что	1	1
77	качестве одной из	1	1
78	в свою очередь	2	1
79	еще в году	1	1
80	его собственному признанию	1	1
81	них не может	1	1
82	систему персонажей и	1	1
83	между тем это	1	1
84	той или иной	4	1
85	не может обойтись	1	1
86	ни одна из	1	1
87	и в конечном	1	1
88	по его собственному	1	1
89	мы имеем дело	2	1
90	к тому же	5	1
91	в качестве одной	1	1
92	заключает в себе	2	1
