N	3gram	Medvedev_V_1	Komedia
1	к тому же	1	10
2	в том что	5	5
3	вместе с тем	3	4
4	о том что	3	4
5	для того чтобы	3	4
6	по отношению к	7	3
7	в том числе	2	3
8	так или иначе	1	3
9	в связи с	3	3
10	то же время	5	3
11	в то время	1	3
12	в то же	5	3
13	в силу этого	4	2
14	чуть ли не	2	2
15	не говоря уже	1	2
16	в этом смысле	1	2
17	в частности в	2	2
18	до сих пор	1	2
19	говоря уже о	1	2
20	то время как	1	2
21	с одной стороны	2	2
22	во всяком случае	1	2
23	и есть для	1	2
24	в этом же	1	2
25	и т п	9	2
26	после того как	1	2
27	к тому что	3	2
28	можно было бы	2	2
29	чем отличается от	1	1
30	как это видно	2	1
31	в какой мере	1	1
32	мы имеем дело	1	1
33	одной из этих	1	1
34	в самом деле	1	1
35	в соответствии с	1	1
36	в том же	1	1
37	как видно из	1	1
38	одна из них	1	1
39	состоял в том	1	1
40	только в том	2	1
41	как это было	1	1
42	и во всех	1	1
43	сих пор не	1	1
44	том случае если	1	1
45	и в то	3	1
46	автор не пишет	1	1
47	спустя три года	1	1
48	но и в	1	1
49	дошедших до нас	1	1
50	то что в	1	1
51	том числе и	2	1
52	в каком направлении	1	1
53	первого из них	1	1
54	может быть даже	1	1
55	в том случае	1	1
56	а вместе с	1	1
57	другой стороны он	1	1
58	это видно из	2	1
59	и не слишком	1	1
60	той или иной	1	1
61	в этой области	3	1
62	не пишет для	1	1
63	по этому вопросу	1	1
64	того обстоятельства что	1	1
65	ли не все	1	1
66	из действующих лиц	1	1
67	по существу своему	1	1
68	в чем же	2	1
69	как будто бы	1	1
70	по сравнению с	1	1
71	имеем дело с	1	1
72	не следует забывать	1	1
73	освобождает его от	1	1
74	мало чем отличается	1	1
75	с другой стороны	8	1
76	таким образом и	1	1
77	не может быть	8	1
78	в системе образов	1	1
79	не было бы	4	1
80	того или иного	1	1
81	более или менее	6	1
82	у него в	1	1
83	что он не	1	1
84	в свою очередь	1	1
85	не обходится без	1	1
86	хотя бы в	3	1
87	не только в	2	1
88	как мы знаем	1	1
89	у первого из	1	1
90	и мира в	1	1
91	во всех других	1	1
92	следует забывать что	1	1
93	и опирается на	1	1
