N	3gram	Berdyaev_O_1	FransuaR
1	но и в	2	4
2	не может быть	2	4
3	в этом отношении	1	3
4	о том что	1	3
5	в эпоху возрождения	1	2
6	в другом месте	1	2
7	по сравнению с	1	2
8	во всяком случае	1	2
9	его творчества но	1	2
10	потому что в	1	1
11	прежде всего в	1	1
12	и не может	1	1
13	в этой отрицательной	1	1
14	то что в	1	1
15	ни с кем	1	1
16	друг с другом	1	1
17	в строгом смысле	1	1
18	в самой жизни	1	1
19	не могут быть	2	1
20	я имею в	1	1
21	имею в виду	1	1
22	даже и в	1	1
23	о человеке которая	1	1
24	но и там	1	1
25	и в самой	2	1
26	и прежде всего	1	1
27	на то что	1	1
28	после того как	1	1
29	над человеческой природой	1	1
30	для того чтобы	3	1
31	в том что	1	1
32	и все это	1	1
33	как и в	1	1
34	и в ее	1	1
