N	3gram	Bakhtin_Pr_4	Tragedij
1	то же время	5	5
2	в то же	5	5
3	в романе идиот	1	3
4	так и в	1	3
5	по замыслу достоевского	1	2
6	преступлении и наказании	2	2
7	в отличие от	3	2
8	в преступлении и	2	2
9	в данном случае	1	2
10	но в то	2	2
11	между этими двумя	1	2
12	о том что	2	2
13	но все же	1	2
14	в том что	2	2
15	в этом случае	1	1
16	а между тем	1	1
17	в известной степени	1	1
18	ивана карамазова в	1	1
19	и всегда будет	1	1
20	том что он	1	1
21	у достоевского в	2	1
22	и не может	7	1
23	хотя бы и	1	1
24	сам по себе	3	1
25	в столкновение с	1	1
26	но и на	1	1
27	в той же	1	1
28	в романе бесы	1	1
29	мы бы сказали	1	1
30	романах достоевского все	1	1
31	одном из своих	1	1
32	в известной мере	1	1
33	все как бы	1	1
34	в этом романе	2	1
35	то и он	2	1
36	во всяком случае	1	1
37	не к области	1	1
38	в высшей степени	1	1
39	в конце концов	1	1
40	в xx веке	1	1
41	но при этом	1	1
42	по сравнению с	1	1
43	все же не	1	1
44	в xix веке	1	1
45	в связи с	1	1
46	не только к	1	1
47	в мире достоевского	1	1
48	вместо того чтобы	1	1
49	не может быть	8	1
50	голядкина в двойнике	1	1
51	как и все	4	1
52	романа и в	1	1
53	и вместе с	1	1
54	ничем не ограниченного	1	1
55	i прежде всего	1	1
56	в одном из	2	1
57	и он сам	1	1
58	с самого начала	1	1
59	в самом деле	4	1
60	как своего рода	1	1
61	все в этом	1	1
62	после того как	1	1
63	в селе степанчикове	1	1
64	в братьях карамазовых	2	1
65	к тому что	1	1
66	роль в романе	1	1
67	настасья филипповна в	1	1
68	значение для понимания	1	1
69	в какой-то мере	1	1
70	друг друга и	1	1
71	как и в	3	1
72	не знать и	1	1
