N	3gram	Tiupa_Lite_2	Myslijsy
1	в том что	5	7
2	в свою очередь	1	6
3	тем не менее	2	5
4	по крайней мере	2	5
5	подобно тому как	2	4
6	мы не можем	1	3
7	с одной стороны	6	3
8	и т п	2	3
9	об одном из	1	3
10	не могут быть	1	3
11	одно и то	2	2
12	состоит не в	1	2
13	для того кто	1	2
14	с другой стороны	4	2
15	для того чтобы	1	2
16	то же в	1	2
17	и то же	2	2
18	на самом деле	1	2
19	которые не могут	1	2
20	в сравнении с	2	2
21	не может быть	7	2
22	после того как	1	2
23	то же время	9	2
24	не в том	1	2
25	а не с	1	2
26	в то же	9	2
27	о том что	2	1
28	а в том	1	1
29	если б мы	1	1
30	на самые светлые	1	1
31	в одном из	1	1
32	тогда как при	1	1
33	бы то ни	1	1
34	становится для него	1	1
35	при этом как	1	1
36	для нас на	1	1
37	из того что	1	1
38	мы вместе с	1	1
39	для него как	1	1
40	то ни было	1	1
41	всегда может быть	1	1
42	имеет ничего общего	1	1
43	но с другой	3	1
44	ничего общего с	1	1
45	себя и других	1	1
46	внутренней и внешней	1	1
47	и не может	1	1
48	до тех пор	1	1
49	состоит в том	4	1
50	в отличие от	1	1
51	в этом случае	2	1
52	но даже и	1	1
53	одной стороны и	1	1
54	этом случае мы	1	1
55	для нас как	1	1
56	и других в	1	1
57	вместе с тем	1	1
58	нам остается только	1	1
59	так велика что	1	1
60	в том чтобы	3	1
61	во всех этих	1	1
62	то есть в	1	1
63	не имеет ничего	1	1
64	всех этих и	1	1
65	что же касается	1	1
66	в зависимость от	1	1
67	может быть названа	1	1
68	с этой точки	1	1
