N	3gram	Propp_Isto_4	FransuaR
1	в средние века	2	8
2	не только в	2	5
3	но и в	1	4
4	до сих пор	5	4
5	не может быть	4	4
6	о том что	2	3
7	с другой стороны	4	3
8	можно сказать что	1	2
9	и даже в	1	2
10	его связь с	1	2
11	содержит в себе	2	2
12	по сравнению с	3	2
13	но все же	4	2
14	как мы видели	3	2
15	подобно тому как	1	2
16	мы знаем что	7	1
17	мы здесь имеем	1	1
18	и целый ряд	1	1
19	там где нет	1	1
20	и заставить его	1	1
21	дошли до нас	1	1
22	но и во	1	1
23	тех случаях когда	2	1
24	и не может	1	1
25	но он не	1	1
26	дело вовсе не	1	1
27	с этого момента	1	1
28	что здесь на	1	1
29	ему при этом	1	1
30	хотя и более	1	1
31	таким образом и	1	1
32	и в особенности	1	1
33	только с помощью	1	1
34	так и в	2	1
35	не только как	1	1
36	приведем несколько примеров	2	1
37	не могут быть	1	1
38	целый ряд других	1	1
39	мы видели что	3	1
40	в эти дни	1	1
41	цель и смысл	1	1
42	в тех случаях	2	1
43	все же она	1	1
44	вовсе не в	1	1
45	в этом случае	3	1
46	не только с	1	1
47	но и там	1	1
48	мы имеем в	2	1
49	и как мы	1	1
50	как мы видим	1	1
51	на то что	3	1
52	в большинстве случаев	1	1
53	после того как	2	1
54	как и в	1	1
55	только тогда когда	1	1
56	все к чему	1	1
