N	3gram	Voloshinov_1	formyVre
1	то же время	1	9
2	как мы уже	1	8
3	в то же	1	6
4	по отношению к	11	3
5	до сих пор	3	3
6	в этом отношении	1	3
7	может быть только	1	3
8	одно и то	2	3
9	не может быть	7	3
10	в то время	1	3
11	и то же	2	3
12	но все же	1	2
13	в чем не	1	2
14	дело в том	4	2
15	равно как и	1	2
16	мы уже сказали	1	2
17	одной стороны и	2	2
18	же как и	1	2
19	как если бы	4	2
20	с точки зрения	2	2
21	но и в	1	2
22	ни в чем	1	2
23	и дает место	1	2
24	и в частности	1	2
25	то время как	1	2
26	так же как	1	2
27	с одной стороны	2	2
28	может быть и	3	2
29	друг к другу	1	2
30	с самого начала	1	2
31	и прежде всего	1	2
32	в том что	4	2
33	как и в	1	2
34	к тому же	1	2
35	которого и является	1	1
36	или хотя бы	1	1
37	мы это уже	1	1
38	и во времени	1	1
39	том что в	1	1
40	ровно ничего не	1	1
41	имеем в виду	2	1
42	том что все	1	1
43	в самом деле	1	1
44	в том же	1	1
45	но все это	1	1
46	в зависимости от	2	1
47	сами по себе	1	1
48	особенно важное значение	1	1
49	совершенно ясно что	1	1
50	более того если	1	1
51	зависимости от ранга	1	1
52	к герою и	1	1
53	здесь же мы	1	1
54	со всех сторон	1	1
55	прежде всего совершенно	1	1
56	говорит о том	1	1
57	включает в себя	1	1
58	до известной степени	2	1
59	и тогда когда	1	1
60	в значительной степени	1	1
61	в своем движении	1	1
62	в данном случае	2	1
63	но в то	1	1
64	но в процессе	1	1
65	в пространстве и	1	1
66	и в этом	1	1
67	в нашем случае	1	1
68	на второй план	1	1
69	все более и	1	1
70	во всяком случае	1	1
71	вступает в свои	1	1
72	в свои права	1	1
73	сих пор не	1	1
74	место в событии	1	1
75	в свою очередь	1	1
76	о том что	1	1
77	никогда не бывает	1	1
78	но отнюдь не	2	1
79	более и более	1	1
80	при этом свое	1	1
81	мы имеем в	1	1
82	он имеет в	1	1
83	сама по себе	1	1
84	и самое слово	1	1
85	в высшей степени	1	1
86	для нас не	1	1
87	только в организации	1	1
88	в жизни и	2	1
