N	2gram	Berdyaev_N_1	RusskieA
1	и в	16	29
2	том что	2	22
3	в том	8	22
4	что в	9	22
5	так как	1	13
6	может быть	7	13
7	во время	1	12
8	в этом	7	11
9	как и	7	11
10	одна из	2	11
11	в этот	1	10
12	не только	5	10
13	и с	2	10
14	все это	5	10
15	а на	1	9
16	о том	4	9
17	а в	2	9
18	но и	3	8
19	как в	3	7
20	через них	1	7
21	мы не	2	6
22	еще не	3	6
23	и на	2	6
24	того чтобы	2	6
25	на нее	1	6
26	для того	1	6
27	с тем	3	6
28	вместе с	2	6
29	но не	2	5
30	но в	2	5
31	это не	4	5
32	не может	16	5
33	потому что	4	5
34	для этого	2	5
35	и что	2	5
36	будто бы	1	5
37	земли и	1	5
38	к жизни	3	5
39	то что	4	5
40	же как	2	4
41	вопрос о	3	4
42	на них	1	4
43	уже не	2	4
44	в другие	1	4
45	их в	1	4
46	в них	4	4
47	не в	6	4
48	у нас	1	4
49	а также	1	4
50	к нему	1	4
51	из них	1	4
52	а не	17	4
53	так же	2	4
54	как это	2	4
55	по существу	2	4
56	и все	4	4
57	и через	1	3
58	в xix	1	3
59	в ее	3	3
60	это показывает	1	3
61	все эти	2	3
62	в этой	1	3
63	что она	2	3
64	по всем	1	3
65	подобно тому	3	3
66	с другими	1	3
67	не всегда	1	3
68	в эту	1	3
69	в этих	1	3
70	в котором	1	3
71	в отличие	1	3
72	но он	1	3
73	она не	3	3
74	не имеет	4	3
75	нас к	1	3
76	должно было	2	3
77	во всех	3	3
78	как например	1	3
79	друг друга	1	3
80	отличие от	1	3
81	связаны с	2	3
82	тем что	1	3
83	в природе	2	3
84	тому как	3	3
85	и от	2	3
86	было бы	1	3
87	но если	1	3
88	также что	1	2
89	переход от	1	2
90	это и	2	2
91	но она	2	2
92	на себя	1	2
93	это время	1	2
94	не был	1	2
95	с одной	2	2
96	с этим	2	2
97	не было	4	2
98	в которой	1	2
99	из этих	1	2
100	не к	2	2
101	том чтобы	2	2
102	людей и	1	2
103	в образе	1	2
104	для них	1	2
105	должно быть	4	2
106	и еще	1	2
107	в своей	3	2
108	в советской	1	2
109	не столько	1	2
110	не менее	4	2
111	в то	2	2
112	никогда не	6	2
113	к ней	1	2
114	во всем	1	2
115	к таким	1	2
116	когда мы	2	2
117	должен быть	5	2
118	в виду	1	2
119	то время	1	2
120	можно было	2	2
121	не с	1	2
122	еще в	1	2
123	а к	1	2
124	с другой	3	2
125	все в	1	2
126	в ночь	1	2
127	он есть	1	2
128	в новой	7	2
129	совсем не	12	2
130	есть в	2	2
131	связано с	1	2
132	ее на	1	2
133	прежде всего	4	2
134	и пр	3	2
135	одной стороны	2	2
136	но можно	1	2
137	могут быть	2	2
138	быть только	1	2
139	и для	4	2
140	жизни в	3	2
141	человека и	3	1
142	к этой	1	1
143	и есть	10	1
144	и до	1	1
145	в нашу	2	1
146	от старого	2	1
147	мы уже	1	1
148	не во	4	1
149	на место	1	1
150	к новой	1	1
