N	2gram	Medvedev_V_1	Poddanst
1	не только	25	17
2	и в	26	14
3	и не	19	12
4	в области	2	11
5	в этом	26	10
6	в качестве	11	9
7	но в	2	9
8	то же	10	9
9	в том	15	9
10	в пределах	5	8
11	хотя бы	19	8
12	только в	7	7
13	с к	1	7
14	в то	6	7
15	же время	5	7
16	в ней	2	6
17	было бы	7	6
18	но и	10	6
19	в которых	3	5
20	с другой	11	5
21	может быть	22	5
22	не в	6	5
23	а н	1	5
24	если бы	3	4
25	а также	1	4
26	в своем	8	4
27	и к	3	4
28	о г	1	4
29	как бы	5	4
30	и если	1	4
31	том что	8	4
32	не может	17	4
33	и потому	2	4
34	в котором	3	4
35	по себе	2	4
36	что в	10	4
37	же в	6	4
38	а в	3	4
39	то что	6	4
40	и т	23	3
41	сводится к	3	3
42	в порядке	5	3
43	между тем	5	3
44	это не	7	3
45	вслед за	2	3
46	хотя и	2	3
47	и как	3	3
48	с ними	4	3
49	с одной	2	3
50	в себе	6	3
51	в нем	6	3
52	сами по	1	3
53	для того	3	3
54	заключается в	2	3
55	прежде всего	13	3
56	одной стороны	2	3
57	с тем	3	3
58	что мы	2	3
59	и без	1	3
60	но не	2	3
61	могут быть	5	3
62	т е	18	3
63	потому что	1	3
64	н н	2	3
65	точки зрения	3	3
66	и это	1	2
67	например в	3	2
68	в сфере	2	2
69	значительной мере	3	2
70	в ее	4	2
71	и есть	5	2
72	было в	2	2
73	по сравнению	1	2
74	является в	1	2
75	но к	1	2
76	никак не	1	2
77	в значительной	3	2
78	во всех	6	2
79	говорить о	2	2
80	если в	2	2
81	в общем	2	2
82	во всей	2	2
83	отнюдь не	3	2
84	в русском	1	2
85	с этим	3	2
86	и дети	1	2
87	того что	3	2
88	стороны и	2	2
89	есть в	1	2
90	в начале	1	2
91	главным образом	7	2
92	и других	1	2
93	в его	14	2
94	из них	9	2
95	в виде	1	2
96	в силу	11	2
97	как раз	3	2
98	в статье	4	2
99	именно в	2	2
100	в жизни	2	2
101	для них	1	2
102	в них	4	2
103	не было	7	2
104	а не	7	2
105	должно быть	2	2
106	более чем	1	2
107	д н	1	2
108	образом на	1	2
109	не столько	2	2
110	творчества и	1	2
111	друг другу	1	2
112	ней не	1	2
113	что из	1	2
114	не менее	2	2
115	все это	10	2
116	между прочим	2	2
117	не о	2	2
118	одна из	4	2
119	при посредстве	1	2
120	мысль о	2	2
121	да и	1	2
122	еще более	1	2
123	для нас	1	2
124	исключительно в	1	2
125	заключает в	1	2
126	в частности	11	2
127	так называемые	1	2
128	как на	3	2
129	том числе	2	2
130	в применении	1	1
131	также что	2	1
132	также и	2	1
133	же как	2	1
134	и через	2	1
135	не очень	1	1
136	связана с	2	1
137	и то	1	1
138	как известно	2	1
139	на основе	5	1
140	так было	1	1
141	применении к	1	1
142	поскольку она	1	1
143	поэзии и	1	1
144	представляют собою	2	1
145	еще в	1	1
146	воздух и	1	1
147	для этого	1	1
148	духовной и	1	1
149	творчества они	1	1
150	не вполне	2	1
151	на себя	1	1
152	почти исключительно	1	1
153	с ее	1	1
154	и ее	4	1
155	мы и	1	1
156	эти явления	2	1
157	но несколько	1	1
158	подчеркнуть что	2	1
159	характер этого	1	1
160	может не	2	1
161	не означает	1	1
162	и что	1	1
163	еще не	2	1
164	были бы	1	1
165	он был	1	1
166	с того	1	1
167	ответа на	1	1
168	в различных	2	1
169	с его	3	1
170	науке и	1	1
171	это имеет	1	1
172	процесс этот	1	1
173	к истине	1	1
174	грань между	1	1
175	не все	1	1
176	его сущность	1	1
177	что и	3	1
178	и достоевский	2	1
179	сущность в	1	1
180	мы хотим	1	1
181	в явлении	3	1
182	в истории	1	1
183	что во	1	1
184	и мир	3	1
185	вот как	4	1
186	все же	5	1
187	наше сознание	1	1
188	соотношение между	1	1
189	обе эти	1	1
190	и слова	1	1
191	мы видим	1	1
192	более или	6	1
193	в какой	1	1
194	с определенной	1	1
195	и движение	1	1
196	должен быть	4	1
197	в самом	4	1
198	только то	2	1
199	но как	3	1
200	в которой	2	1
201	во времени	1	1
202	бы и	6	1
203	и первой	1	1
204	формы в	1	1
205	есть для	1	1
206	чуть ли	2	1
207	у каждого	1	1
208	из этих	7	1
209	тот или	1	1
210	в известном	1	1
211	сложной и	1	1
212	переходит в	1	1
213	что его	2	1
214	уже в	1	1
215	только на	1	1
216	на то	1	1
217	если он	1	1
218	но на	1	1
219	положение что	1	1
220	как оно	1	1
221	в определенном	1	1
222	этого процесса	1	1
223	свидетельство о	1	1
224	т д	14	1
225	мы знаем	3	1
226	идеи и	6	1
227	не как	1	1
228	в существе	1	1
229	к ним	1	1
230	друг друга	1	1
231	каждый из	1	1
232	при отсутствии	1	1
233	широко и	1	1
234	и по	3	1
235	следует понимать	5	1
236	одно и	1	1
237	в каждом	2	1
238	а затем	2	1
239	без того	1	1
240	или иной	2	1
241	развития в	1	1
242	предостерегает от	1	1
243	его в	3	1
244	связаны с	1	1
245	и тех	1	1
246	и быть	2	1
247	например с	1	1
248	качестве общего	1	1
249	и целиком	1	1
250	что не	3	1
251	в живом	1	1
252	в ином	1	1
253	к более	1	1
254	них и	1	1
255	далеко не	2	1
256	в этой	4	1
257	идеи в	2	1
258	в реальной	2	1
259	на основании	8	1
260	в действии	1	1
261	как и	7	1
262	в свете	1	1
263	к а	1	1
264	и многие	1	1
265	раскрывается в	1	1
266	не об	2	1
267	и еще	1	1
268	или менее	6	1
269	отрыве от	1	1
270	что если	1	1
271	в творчестве	3	1
272	в ходе	1	1
273	и при	5	1
274	работы в	1	1
275	на личную	1	1
276	в которые	1	1
277	так же	3	1
278	и особенно	1	1
279	из мира	1	1
280	представить себе	2	1
281	всяком случае	1	1
282	знаем что	2	1
283	в данном	1	1
284	вопрос о	1	1
285	сравнению с	1	1
286	определяется как	1	1
287	можно говорить	1	1
288	эта не	2	1
289	думается что	4	1
290	и эти	1	1
291	в процесс	1	1
292	и судьбы	1	1
293	и наоборот	1	1
294	и менее	1	1
295	метафизиками и	1	1
296	может идти	1	1
297	этой области	3	1
298	нет никакого	1	1
299	что есть	1	1
300	ее нужно	1	1
301	в основном	5	1
302	эта мысль	1	1
303	что эта	1	1
304	с которой	1	1
305	она не	3	1
306	но для	2	1
307	тогда когда	2	1
308	этом смысле	1	1
309	в сферу	1	1
310	не тождественны	1	1
311	и образы	3	1
312	того чтобы	3	1
313	та или	1	1
314	материалы и	1	1
315	не имеет	1	1
316	никогда не	4	1
317	в результате	5	1
318	казалось бы	1	1
319	о котором	1	1
320	чтобы понять	1	1
321	или иная	1	1
322	и упрощенно	1	1
323	и которая	1	1
324	что по	1	1
325	другой стороны	8	1
326	только что	4	1
327	в этих	1	1
328	над отдельными	1	1
329	нет ничего	1	1
330	в каком	1	1
331	из тех	1	1
332	в философии	4	1
333	к сфере	1	1
334	по одному	2	1
335	одновременно и	1	1
336	что все	3	1
337	есть и	1	1
338	ли не	2	1
339	единства в	1	1
340	ни к	1	1
341	не деятельностью	1	1
342	числе и	2	1
343	частности в	2	1
344	что оно	3	1
345	к сожалению	2	1
346	к этой	1	1
347	в поиски	1	1
348	видим в	1	1
349	и другие	1	1
350	вместе с	7	1
351	это в	1	1
352	что при	2	1
353	во всяком	1	1
354	многие из	2	1
355	они не	2	1
