N	3gram	Medvedev_U_1	Problema
1	в том что	2	8
2	в конце концов	2	6
3	с другой стороны	3	5
4	по крайней мере	2	4
5	с одной стороны	1	3
6	в этом смысле	2	3
7	и в частности	2	3
8	можно сказать что	1	3
9	и то что	2	3
10	все же не	1	3
11	в значительной мере	1	2
12	бы то ни	3	2
13	художественного творчества то	1	2
14	тех или иных	2	2
15	равно как и	1	2
16	до сих пор	2	2
17	на то что	1	2
18	что он и	1	2
19	но даже и	2	2
20	в данном случае	1	2
21	не может быть	4	2
22	так или иначе	1	1
23	сам по себе	1	1
24	в то же	3	1
25	или по крайней	1	1
26	и в конце	1	1
27	в своей работе	1	1
28	но в то	1	1
29	конце концов не	1	1
30	в самом деле	2	1
31	но это не	1	1
32	то ни было	3	1
33	природе и в	1	1
34	нам думается что	1	1
35	на первый взгляд	1	1
36	а не то	1	1
37	все же остается	1	1
38	не только в	1	1
39	в этом отношении	2	1
40	тот же автор	1	1
41	то же время	3	1
42	все что угодно	1	1
43	он и делает	1	1
44	кого бы то	1	1
45	не входит в	1	1
46	говорить не о	1	1
47	никогда и не	1	1
48	нам представляется что	1	1
