N	3gram	Losev_Vesc_1	Dialekti
1	и т д	19	15
2	с точки зрения	3	9
3	не есть ни	3	9
4	в том что	4	9
5	что иное как	7	8
6	не что иное	7	8
7	по крайней мере	4	7
8	это значит что	19	7
9	не может быть	6	6
10	в то же	1	6
11	есть не что	5	5
12	есть то что	4	5
13	сама по себе	3	5
14	для того чтобы	2	5
15	все это –	2	4
16	что она есть	2	4
17	само по себе	1	4
18	не в том	1	4
19	это не есть	1	4
20	это и есть	1	4
21	подобно тому как	4	4
22	я утверждаю что	2	4
23	ничего не говорит	1	4
24	только тогда когда	2	4
25	имеется в виду	1	3
26	есть прежде всего	2	3
27	т д и	5	3
28	тех или других	4	3
29	не говорит о	1	3
30	той или другой	2	3
31	что это есть	3	3
32	на то что	2	3
33	ясно что это	1	3
34	не есть просто	4	3
35	мы не есть	1	2
36	вы знаете что	1	2
37	– в свете	1	2
38	по смыслу своему	2	2
39	представим себе что	1	2
40	в данный момент	1	2
41	в чем же	3	2
42	т е она	1	2
43	равно как и	2	2
44	т е не	2	2
45	того или другого	1	2
46	о том как	1	2
47	сам по себе	3	2
48	ни в коем	1	2
49	оно и есть	1	2
50	в собственном смысле	2	2
51	от всего иного	3	2
52	эти две сферы	1	2
53	тем или другим	1	2
54	с этой точки	1	2
55	то и другое	4	2
56	в коем случае	1	2
57	ту или иную	2	2
58	д и т	5	2
59	т е в	7	2
60	имеет под собой	1	2
61	еще ничего не	1	2
62	идеи и материи	2	2
63	ни на что	1	2
64	т д все	1	2
65	случае не есть	1	2
66	и даже вообще	1	2
67	этой точки зрения	1	2
68	по сравнению с	6	2
69	что оно есть	4	2
70	от того что	1	2
71	то что мы	2	2
72	коем случае не	1	2
73	в свою очередь	4	2
74	и это и	1	2
75	и в частности	1	2
76	ни от чего	2	2
77	они – не	1	2
78	что оно не	1	2
79	мы видим что	1	2
80	вещи с ее	5	2
81	тем не менее	3	2
82	есть подлинная действительность	1	1
83	но ясно что	1	1
84	я мог бы	4	1
85	но что это	1	1
86	что в результате	2	1
87	не может не	1	1
88	тот же самый	1	1
89	есть также и	1	1
90	ни с какой	1	1
91	что же такое	3	1
92	только потому что	1	1
93	нечто совершенно несводимое	1	1
94	получится если мы	1	1
95	себя и что	1	1
96	это так то	1	1
97	мы имеем дело	2	1
98	и пр но	1	1
99	дело в том	2	1
100	всего иного и	1	1
101	не отвлеченная идея	1	1
102	и даже не	3	1
103	своего существования и	1	1
104	если бы было	1	1
105	который уже не	1	1
106	было бы уже	1	1
107	делает не что	1	1
108	в себе не	1	1
109	сказали мы есть	1	1
110	т е самый	1	1
111	необходимо не только	2	1
112	оба эти момента	1	1
113	и вот когда	1	1
114	самом же деле	1	1
115	может быть только	3	1
116	я вижу в	1	1
117	и есть то	2	1
118	и не только	4	1
119	от всякого инобытия	1	1
120	с какой стороны	1	1
121	из них в	1	1
122	но если вы	2	1
123	и то и	1	1
124	в сущности в	1	1
125	мы имеем а	1	1
126	в зависимости от	1	1
127	мы переходим к	1	1
128	в той же	1	1
129	можно говорить о	2	1
130	и значит что	1	1
131	так как мы	1	1
132	также и то	1	1
133	это значило бы	2	1
134	е в сущности	2	1
135	можно сказать что	3	1
136	можно только тогда	1	1
137	на самом же	1	1
138	в себе и	1	1
139	– мы получим	1	1
140	е прежде всего	1	1
141	с тем что	1	1
142	то что я	2	1
143	между собою и	2	1
144	себе не содержит	1	1
145	его отвлеченной идеей	1	1
146	что на нем	1	1
147	слово слово –	1	1
148	уже не есть	1	1
149	в одинаковой мере	1	1
150	быть не просто	2	1
151	в основе своей	2	1
152	смысл т е	2	1
153	это и значит	2	1
154	то чем она	1	1
155	и не в	1	1
156	и что это	1	1
157	то в чем	1	1
158	и тем не	1	1
159	и то что	3	1
160	зависит только от	1	1
161	если это так	1	1
162	она должна быть	1	1
163	а это значит	1	1
164	не есть только	2	1
165	что не есть	3	1
166	нет никакой действительности	1	1
167	нет ровно ничего	1	1
168	нечто третье что	1	1
169	и есть подлинная	1	1
170	содержащая в себе	1	1
171	содержит в себе	4	1
172	в данном случае	2	1
173	да и сама	1	1
174	с этим инобытием	1	1
175	она еще не	1	1
176	прежде всего я	1	1
177	не только в	4	1
178	не просто как	1	1
179	я не стану	1	1
180	и есть само	1	1
181	мы не знаем	1	1
182	т е чисто	1	1
183	и этого мало	1	1
184	это было бы	1	1
185	прежде всего сама	1	1
186	в конце концов	2	1
187	же это и	1	1
188	заключается не в	1	1
189	образ вещи с	1	1
190	потому что существует	1	1
191	и как бы	1	1
192	по природе своей	1	1
193	мы будем говорить	1	1
194	если мы хотим	1	1
195	так или иначе	4	1
196	значило бы что	2	1
197	с тем или	1	1
198	тогда когда уже	1	1
199	и – мы	2	1
200	только так что	1	1
201	жизни и т	1	1
202	но только в	1	1
203	что это –	2	1
204	вобрать в себя	1	1
205	вещь от всего	2	1
206	могло не быть	1	1
207	и пр –	1	1
208	именно находится в	1	1
209	что получится если	1	1
210	не входя в	1	1
211	есть ни просто	1	1
212	я называю эту	1	1
213	ничто не мешает	2	1
214	что мы уже	1	1
215	т е прежде	1	1
216	в нем нет	1	1
217	но это значит	1	1
218	вовсе не есть	6	1
219	в подлинном смысле	1	1
220	уже не просто	2	1
221	от всего прочего	5	1
222	во всех языках	1	1
223	это – только	1	1
224	имя имя есть	1	1
225	о том что	4	1
226	т е абсолютная	1	1
227	должна быть не	1	1
228	хотя бы в	2	1
229	с его отвлеченной	1	1
230	не только не	2	1
231	как бы ни	2	1
232	таково что оно	1	1
233	вопрос о том	1	1
234	в чем спецификум	1	1
235	не может уже	1	1
236	ни с чем	2	1
237	нужно сказать что	1	1
238	и это –	3	1
239	с другой стороны	2	1
240	имя не может	1	1
241	и нет никакой	1	1
242	и есть не	2	1
243	допустим что мы	1	1
244	вещей и не	1	1
245	не значит что	1	1
246	т е надо	2	1
247	в своей полной	2	1
248	тех или иных	1	1
249	как только вещь	1	1
250	она есть прежде	1	1
251	из того что	2	1
252	по себе а	1	1
253	диалектически это значит	1	1
254	и ее смысл	1	1
255	д все это	1	1
256	мы еще не	2	1
