N	2gram	Tiupa_Teor_1	Poddanst
1	не только	16	17
2	и в	18	14
3	и не	13	12
4	в области	4	11
5	в этом	8	10
6	в отношении	3	10
7	в качестве	24	9
8	но в	9	9
9	то же	7	9
10	в том	16	9
11	в пределах	5	8
12	только в	6	7
13	в то	6	7
14	же время	5	7
15	было бы	1	6
16	но и	9	6
17	быть может	1	6
18	отношении к	2	5
19	с другой	7	5
20	может быть	17	5
21	не в	7	5
22	и о	4	5
23	о в	2	5
24	если бы	3	4
25	тех кто	1	4
26	а также	6	4
27	и е	1	4
28	в своем	4	4
29	и к	3	4
30	как бы	5	4
31	и политического	1	4
32	том что	9	4
33	не может	4	4
34	и потому	2	4
35	большей степени	1	4
36	по себе	1	4
37	в русской	6	4
38	что в	9	4
39	а в	13	4
40	то что	3	4
41	сводится к	5	3
42	в порядке	3	3
43	столь же	2	3
44	между тем	5	3
45	это не	2	3
46	вслед за	2	3
47	хотя и	3	3
48	и как	2	3
49	тот же	1	3
50	с ними	1	3
51	с одной	2	3
52	в себе	9	3
53	в нем	4	3
54	для того	1	3
55	заключается в	2	3
56	прежде всего	2	3
57	одной стороны	2	3
58	с тем	1	3
59	и без	1	3
60	с точки	3	3
61	но не	9	3
62	могут быть	4	3
63	тем самым	4	3
64	потому что	3	3
65	точки зрения	9	3
66	в сравнении	1	3
67	сравнении с	1	3
68	я и	2	3
69	и это	2	2
70	отношения к	2	2
71	например в	1	2
72	в ее	5	2
73	в мире	19	2
74	есть не	1	2
75	начала и	1	2
76	осуществляется в	1	2
77	в сочетании	2	2
78	является в	1	2
79	которое в	1	2
80	никак не	1	2
81	в значительной	1	2
82	во всех	1	2
83	в которую	1	2
84	говорить о	3	2
85	если в	2	2
86	во всей	1	2
87	со стороны	2	2
88	отнюдь не	3	2
89	в русском	1	2
90	и пусть	1	2
91	того что	4	2
92	духа и	1	2
93	и весьма	1	2
94	к чему	2	2
95	бы ни	1	2
96	теперь в	1	2
97	есть в	2	2
98	в его	6	2
99	о и	2	2
100	из них	1	2
101	в силу	1	2
102	и вот	3	2
103	как раз	2	2
104	в статье	1	2
105	точек зрения	1	2
106	полной мере	1	2
107	именно в	3	2
108	и тем	3	2
109	в жизни	2	2
110	в них	2	2
111	не было	1	2
112	а не	9	2
113	в ряду	1	2
114	должно быть	1	2
115	более чем	1	2
116	не столько	1	2
117	реальность и	1	2
118	друг другу	1	2
119	и достоевского	1	2
120	что из	1	2
121	не менее	4	2
122	своем значении	1	2
123	все это	2	2
124	сколько бы	1	2
125	и право	1	2
126	в полной	1	2
127	тем более	1	2
128	в перспективе	1	2
129	заключает в	1	2
130	в частности	16	2
131	том числе	2	2
132	поскольку не	2	1
133	также что	1	1
134	также и	1	1
135	же как	1	1
136	связана с	1	1
137	но чтобы	2	1
138	и то	2	1
139	тем и	1	1
140	на основе	2	1
141	как преодоление	1	1
142	тем же	1	1
143	в иных	1	1
144	в себя	3	1
145	мире можно	2	1
146	по преимуществу	4	1
147	к жизни	2	1
148	на две	3	1
149	на нее	1	1
150	те же	1	1
151	не с	3	1
152	особенно в	1	1
153	ибо к	1	1
154	русской культуре	1	1
155	для этого	1	1
156	в собственном	1	1
157	не вполне	2	1
158	на себя	2	1
159	с ее	3	1
160	и ее	3	1
161	именно потому	1	1
162	и здесь	2	1
163	подчеркнуть что	1	1
164	не означает	1	1
165	и что	3	1
166	внутреннего зрения	11	1
167	еще не	4	1
168	и на	1	1
169	мира а	1	1
170	и который	2	1
171	с его	5	1
172	это имеет	1	1
173	восходит к	1	1
174	смысле не	1	1
175	жить и	2	1
176	не все	3	1
177	что и	2	1
178	отличие от	6	1
179	под покровом	1	1
180	перед тем	1	1
181	также в	1	1
182	в соотношении	1	1
183	в рамках	7	1
184	не входят	1	1
185	и мир	1	1
186	человеческого бытия	2	1
187	известном смысле	1	1
188	не два	1	1
189	обе эти	1	1
190	мы видим	1	1
191	над собой	1	1
192	более или	2	1
193	в какой	2	1
194	должен быть	1	1
195	может оказаться	2	1
196	в самом	4	1
197	только то	1	1
198	в условиях	1	1
199	но как	1	1
200	в которой	2	1
201	во времени	3	1
202	что это	1	1
203	или его	1	1
204	их не	1	1
205	могли бы	2	1
206	представляет собой	9	1
207	есть для	1	1
208	окружающей их	1	1
209	у каждого	1	1
210	из этих	3	1
211	тот или	2	1
212	если мы	2	1
213	собою как	1	1
214	человека с	2	1
215	себя в	6	1
216	в известном	1	1
217	оказывается в	3	1
218	наш век	1	1
219	что его	1	1
220	во многих	1	1
221	говорить об	1	1
222	в большинстве	2	1
223	только на	1	1
224	на то	1	1
225	если он	1	1
226	но на	1	1
227	в наших	1	1
228	в мир	1	1
229	не могла	1	1
230	к миру	1	1
231	только к	1	1
232	есть как	2	1
233	при виде	1	1
234	и жизненной	1	1
235	к ним	1	1
236	ему на	1	1
237	и только	1	1
238	и по	2	1
239	с собой	1	1
240	одно и	1	1
241	многих других	1	1
242	в каждом	1	1
243	а затем	1	1
244	тем в	1	1
245	или иной	4	1
246	большинстве случаев	1	1
247	его в	2	1
248	в душе	8	1
249	и иных	1	1
250	весь мир	1	1
251	было и	1	1
252	а с	3	1
253	видения в	1	1
254	что не	1	1
255	в это	1	1
256	к более	1	1
257	это сфера	1	1
258	далеко не	2	1
259	смерти но	1	1
260	в этой	3	1
261	в реальной	1	1
262	отношения в	1	1
263	как и	4	1
264	с которым	1	1
265	существующее в	2	1
266	и я	1	1
267	ведет к	1	1
268	в бытии	1	1
269	не об	1	1
270	в одно	2	1
271	являются наиболее	1	1
272	или менее	2	1
273	явлена в	1	1
274	чем глубже	1	1
275	в ходе	4	1
276	так же	2	1
277	и особенно	2	1
278	представить себе	1	1
279	что явление	1	1
280	они едины	1	1
281	место в	5	1
282	на каждом	1	1
283	в отличие	6	1
284	в данном	8	1
285	вопрос о	1	1
286	любовь и	1	1
287	можно говорить	1	1
288	теми же	1	1
289	как к	2	1
290	и более	1	1
291	в прошлом	1	1
292	различной природы	1	1
293	и наоборот	1	1
294	ни были	1	1
295	и вся	1	1
296	и другим	1	1
297	и –	3	1
298	в формах	2	1
299	с которой	1	1
300	она не	1	1
301	входят в	1	1
302	мире в	1	1
303	этом смысле	2	1
304	только мы	1	1
305	мнения о	1	1
306	того чтобы	1	1
307	– все	3	1
308	та или	1	1
309	и частной	1	1
310	никогда не	4	1
311	и конца	1	1
312	в результате	1	1
313	казалось бы	2	1
314	о котором	1	1
315	или иным	3	1
316	этом мире	2	1
317	этих двух	2	1
318	или иная	1	1
319	иными словами	1	1
320	не более	1	1
321	и притом	2	1
322	полноты и	1	1
323	другой стороны	5	1
324	и теперь	1	1
325	в этих	3	1
326	в случаях	1	1
327	на фоне	2	1
328	в каком	1	1
329	бытия не	1	1
330	из тех	2	1
331	именно о	1	1
332	в момент	2	1
333	к сфере	1	1
334	будущее в	1	1
335	при сохранении	1	1
336	одновременно и	1	1
337	что все	1	1
338	этом не	1	1
339	единства в	1	1
340	ни к	3	1
341	духовный опыт	1	1
342	числе и	1	1
343	духовного существа	1	1
344	облечена в	1	1
345	всего что	1	1
346	видим в	2	1
347	и другие	2	1
348	но два	1	1
349	вместе с	2	1
350	что от	1	1
351	о о	4	1
352	они не	1	1
