N	3gram	Medvedev_S_1	UchenyiS
1	в конечном счете	1	4
2	то же время	1	3
3	в то же	1	3
4	в этой области	1	3
5	а между тем	1	2
6	то же самое	1	2
7	в том что	2	2
8	в противном случае	1	2
9	по крайней мере	1	2
10	в конце концов	2	2
11	природы изучаемого объекта	1	1
12	противном случае пришлось	1	1
13	методология истории литературы	1	1
14	не в том	2	1
15	на первый план	1	1
16	и в то	1	1
17	и только как	1	1
18	формальный метод и	1	1
19	не было бы	1	1
20	наука о литературе	1	1
21	методологии истории литературы	3	1
22	случае пришлось бы	1	1
23	конечно не в	1	1
24	истории литературы как	1	1
25	только в этом	2	1
26	исторической поэтики и	1	1
27	дело конечно не	1	1
28	с одной стороны	1	1
29	выдвигает на первый	1	1
