N	2gram	Medvedev_B_1	Dialekti
1	и не	2	27
2	а не	1	26
3	и в	1	24
4	не только	1	23
5	что все	1	14
6	таким образом	1	13
7	отнюдь не	1	10
8	прежде всего	1	8
9	и нет	1	7
10	что в	1	7
11	должна быть	1	6
12	об этом	1	6
13	все это	2	6
14	кроме того	1	6
15	вопрос о	1	5
16	по крайней	1	5
17	так и	1	5
18	было бы	1	5
19	крайней мере	1	5
20	говорить о	1	4
21	с другой	1	4
22	у нас	3	4
23	и на	1	3
24	за пределы	1	3
25	все же	1	3
26	тем более	1	3
27	и о	1	3
28	и ее	1	3
29	не было	1	3
30	также не	1	3
31	его не	1	2
32	в ней	2	2
33	еще не	1	2
34	бы только	1	2
35	говорить не	1	2
36	только ли	1	2
37	всяком случае	1	2
38	не вполне	1	2
39	то как	1	2
40	никак не	1	2
41	и во	1	2
42	не о	1	2
43	меньше чем	1	2
44	и потому	1	2
45	в данном	1	2
46	другой стороны	1	2
47	совершенно не	1	2
48	во всяком	1	2
49	на самом	1	1
50	по этим	1	1
51	из ее	1	1
52	не мешало	1	1
53	не то	2	1
54	свести к	1	1
55	далеко не	1	1
56	творчества и	1	1
57	и более	1	1
58	больше чем	2	1
59	точке зрения	1	1
60	всего в	1	1
61	целиком в	1	1
62	об исторических	1	1
63	к ней	1	1
64	одной из	1	1
65	ли по	1	1
66	между ними	1	1
67	мешало бы	1	1
