N	2gram	Medvedev_B_1	Poddanst
1	не только	1	17
2	и в	1	14
3	и не	2	12
4	в области	1	11
5	в пределах	1	8
6	в ней	2	6
7	было бы	1	6
8	с другой	1	5
9	и о	1	5
10	и потому	1	4
11	что в	1	4
12	прежде всего	1	3
13	никак не	1	2
14	в значительной	1	2
15	говорить о	1	2
16	отнюдь не	1	2
17	не было	1	2
18	а не	1	2
19	творчества и	1	2
20	все это	2	2
21	не о	1	2
22	тем более	1	2
23	также что	1	1
24	должна быть	1	1
25	в эпоху	1	1
26	не вполне	1	1
27	и ее	1	1
28	еще не	1	1
29	и на	1	1
30	не все	1	1
31	все же	1	1
32	говорить об	1	1
33	было и	1	1
34	далеко не	1	1
35	не свести	1	1
36	всяком случае	1	1
37	в данном	1	1
38	вопрос о	1	1
39	и более	1	1
40	ней только	1	1
41	более что	1	1
42	другой стороны	1	1
43	что все	1	1
44	во всяком	1	1
