N	3gram	Vinokur_Ku_2	Literetu
1	в том что	10	11
2	так или иначе	2	8
3	состоит в том	1	5
4	в отличие от	2	5
5	то же время	3	5
6	в то же	3	5
7	в данном случае	1	4
8	не только в	4	4
9	в связи с	3	4
10	в конечном счете	2	4
11	прежде всего в	1	3
12	с этой точки	2	3
13	этой точки зрения	2	3
14	может быть это	1	3
15	в силу своей	1	3
16	и прежде всего	1	3
17	дело в том	1	2
18	не говоря уже	2	2
19	с точки зрения	8	2
20	только в том	2	2
21	в этом отношении	3	2
22	и то что	1	2
23	в виду не	1	2
24	с одной стороны	1	2
25	чуть ли не	1	2
26	во всяком случае	5	2
27	о том что	1	2
28	это всего лишь	2	2
29	тем не менее	5	2
30	то что я	1	1
31	только потому что	6	1
32	в последнее время	1	1
33	иметь в виду	1	1
34	а прежде всего	1	1
35	знает что он	1	1
36	на самом деле	2	1
37	в этом последнем	1	1
38	на то что	2	1
39	в этом своем	1	1
40	в соответствии с	2	1
41	выходит за рамки	2	1
42	потому что я	1	1
43	и не только	1	1
44	в зависимости от	4	1
45	для этой цели	1	1
46	бы то ни	1	1
47	виду не только	1	1
48	в день и	1	1
49	в наше время	2	1
50	всей русской культуры	1	1
51	к тому чтобы	1	1
52	можно было бы	9	1
53	в той мере	1	1
54	том или ином	1	1
55	бы я был	1	1
56	тот или иной	1	1
57	в лучшем случае	3	1
58	по крайней мере	6	1
59	и в частности	1	1
60	в значительной степени	1	1
61	за собой и	1	1
62	в самом деле	7	1
63	к этой книге	3	1
64	лишь в той	1	1
65	говоря уже о	2	1
66	а также и	1	1
67	если и не	1	1
68	но может быть	1	1
69	какой бы то	1	1
70	все более и	1	1
71	тех пор пока	1	1
72	хотя бы на	1	1
73	но только в	1	1
74	бы потому что	1	1
75	с другой стороны	7	1
76	не может и	1	1
77	не может быть	4	1
78	едва ли не	1	1
79	только то что	1	1
80	ничего общего с	1	1
81	до тех пор	1	1
82	в свою очередь	2	1
83	до сих пор	1	1
84	с самого начала	1	1
85	более и более	1	1
86	но все же	2	1
87	то ни было	1	1
88	не выходит за	1	1
89	если бы я	1	1
90	может и не	1	1
91	в большинстве случаев	1	1
92	в каком отношении	1	1
93	в сущности не	1	1
94	тех или иных	1	1
95	все ту же	1	1
96	не только от	1	1
97	к тому же	1	1
98	не нуждается в	1	1
99	как мы знаем	1	1
