N	2gram	Kanaev_Sov_1	slovoVRo
1	и в	7	39
2	может быть	12	37
3	и его	1	33
4	не только	4	24
5	и не	6	22
6	не может	17	20
7	в нем	3	19
8	в этом	7	16
9	все это	3	16
10	человек и	1	14
11	а не	3	14
12	отличие от	2	13
13	в процессе	1	13
14	во всех	1	12
15	в отличие	2	12
16	вовсе не	1	10
17	не в	3	9
18	прежде всего	5	8
19	таким образом	11	8
20	точки зрения	12	8
21	еще не	3	7
22	при этом	3	7
23	с ним	1	7
24	никогда не	1	7
25	и даже	2	7
26	в его	2	7
27	и потому	3	7
28	могут быть	2	7
29	с его	1	7
30	как мы	2	7
31	как бы	4	7
32	все эти	5	6
33	все же	3	6
34	как и	6	6
35	жизни и	4	6
36	в большинстве	1	6
37	там где	1	6
38	но не	1	6
39	этом случае	1	6
40	и к	3	6
41	так сказать	2	6
42	она не	1	6
43	но в	3	6
44	в своем	1	6
45	для нас	3	5
46	и наконец	5	5
47	человека в	1	5
48	и для	1	5
49	или иной	2	5
50	и все	3	5
51	по себе	1	5
52	но все	2	5
53	это не	4	5
54	только в	1	5
55	в том	4	5
56	один из	1	5
57	уже не	2	5
58	одной стороны	1	5
59	не могут	2	5
60	с другой	1	5
61	с одной	2	5
62	и их	1	5
63	конечно не	1	5
64	том что	1	5
65	той или	1	5
66	же время	1	4
67	не менее	2	4
68	в то	1	4
69	с помощью	4	4
70	а в	4	4
71	его в	1	4
72	в таком	2	4
73	то же	3	4
74	зависимости от	4	4
75	ни в	1	4
76	в новое	1	4
77	одна из	3	4
78	в зависимости	4	4
79	так как	4	4
80	по отношению	1	4
81	отношению к	1	4
82	или как	1	4
83	xix века	1	4
84	во всяком	2	3
85	говорить о	2	3
86	связи с	1	3
87	рядом с	1	3
88	к нему	1	3
89	в некоторых	2	3
90	что в	2	3
91	здесь в	1	3
92	и от	1	3
93	сказать что	1	3
94	той же	2	3
95	может иметь	2	3
96	точку зрения	4	3
97	на этом	2	3
98	у него	2	3
99	еще раз	1	3
100	с точки	5	3
101	быть и	2	3
102	не приходится	1	3
103	отметить что	1	3
104	в ней	1	3
105	стороны и	1	3
106	необходимо отметить	2	3
