N	2gram	Potebnia_M_4	Sotsiolo
1	все это	5	7
2	в том	23	5
3	в этом	23	5
4	и только	3	3
5	более чем	3	3
6	как же	4	3
7	для нас	14	3
8	не только	10	3
9	и в	23	3
10	не в	11	3
11	в его	5	3
12	за пределы	1	2
13	но и	11	2
14	и мы	5	2
15	было бы	8	2
16	к которому	1	2
17	в смысле	3	2
18	должна быть	1	2
19	только в	15	2
20	дело не	2	2
21	далеко не	1	2
22	нужно было	1	2
23	тем более	5	2
24	том что	12	2
25	в частности	1	2
26	как будто	1	2
27	то что	29	2
28	главным образом	1	2
29	и что	7	2
30	еще не	3	2
31	только как	4	2
32	таким образом	24	2
33	отношению к	8	2
34	что в	17	2
35	может быть	26	2
36	как бы	5	2
37	по отношению	10	2
38	очевидно что	7	2
39	то же	14	2
40	не из	5	1
41	друг от	1	1
42	крайней мере	5	1
43	что все	4	1
44	вряд ли	1	1
45	быть не	2	1
46	по себе	11	1
47	даже в	2	1
48	в мире	2	1
49	сказать и	1	1
50	в этой	1	1
51	тому что	2	1
52	даже не	2	1
53	на все	1	1
54	стоит только	1	1
55	с другой	2	1
56	его в	4	1
57	дает нам	1	1
58	только для	2	1
59	художественных произведений	1	1
60	с ним	5	1
61	наукой в	1	1
62	это не	7	1
63	науки о	1	1
64	на этот	2	1
65	именно в	3	1
66	в чем	1	1
67	они ни	1	1
68	и история	1	1
69	все же	1	1
70	один из	2	1
71	и есть	3	1
72	перед нами	1	1
73	в то	4	1
74	есть процесс	2	1
75	мысли в	2	1
76	тем же	1	1
77	какой же	1	1
78	а с	1	1
79	том как	1	1
80	тем что	10	1
81	в наше	1	1
82	и как	2	1
83	сущности есть	1	1
84	и затем	1	1
85	в процессе	3	1
86	что эти	3	1
87	история литературы	1	1
88	что он	4	1
89	прежде всего	1	1
90	бы он	1	1
91	слова но	1	1
92	в них	3	1
93	так и	6	1
94	не было	12	1
95	одной стороны	1	1
96	те же	3	1
97	научной мысли	1	1
98	и не	18	1
99	полагает что	1	1
100	из себя	2	1
101	никогда не	3	1
102	на основании	4	1
103	их друг	1	1
104	мы не	8	1
105	же время	3	1
106	ничего не	1	1
107	между собою	4	1
108	развития и	2	1
109	и самым	1	1
110	и о	4	1
111	связь между	3	1
112	все эти	3	1
113	именно на	2	1
114	как и	14	1
115	или нет	1	1
116	бы в	2	1
117	в настоящее	1	1
118	мы должны	2	1
119	в таких	2	1
120	в сущности	2	1
121	образом в	5	1
122	конечно не	2	1
123	в связи	1	1
124	на первый	1	1
125	иначе и	1	1
126	свойств и	1	1
127	и его	2	1
128	в этих	3	1
129	связи с	3	1
130	от друга	1	1
131	или не	1	1
132	хотя бы	4	1
133	стало быть	8	1
134	не может	11	1
135	в своей	1	1
136	только тогда	5	1
137	не от	3	1
138	а в	5	1
139	благодаря этому	1	1
140	как искусство	3	1
141	что она	2	1
142	о том	8	1
143	входящие в	1	1
144	в области	2	1
145	к изучению	1	1
146	и потому	10	1
147	же это	1	1
148	настоящее время	1	1
149	представить себе	2	1
150	он ни	1	1
151	факта что	1	1
152	в котором	4	1
153	между ними	4	1
154	из тех	2	1
155	на что	1	1
156	все то	1	1
157	может не	1	1
158	столь же	2	1
159	всяком случае	3	1
160	себя по	1	1
161	и связь	1	1
162	когда мы	6	1
163	в силу	7	1
164	он говорит	1	1
165	не без	1	1
166	что это	7	1
167	ними в	1	1
168	вовсе не	7	1
169	на отдельные	1	1
170	же самое	4	1
171	с одной	1	1
172	а между	4	1
173	но не	1	1
174	у него	1	1
175	а тем	1	1
176	в систему	1	1
177	в виде	2	1
178	в данном	4	1
179	между тем	9	1
180	но как	1	1
181	и по	3	1
182	и им	1	1
183	что на	2	1
184	это происходит	1	1
185	по крайней	5	1
186	понимания природы	1	1
187	и более	4	1
188	и стало	1	1
189	поэта и	1	1
190	том и	2	1
191	во всяком	5	1
192	бы они	2	1
193	перейти к	1	1
194	в каждом	3	1
195	и понятие	1	1
196	это значит	1	1
