N	2gram	Voloshinov_1	Russkaja
1	не может	8	22
2	и не	4	19
3	в том	3	17
4	в этом	9	17
5	и в	16	14
6	с другом	1	14
7	друг с	1	14
8	то что	3	13
9	то же	2	11
10	точки зрения	8	11
11	таким образом	9	11
12	но и	4	10
13	не только	7	9
14	том что	3	9
15	с точки	6	9
16	может быть	17	9
17	во всяком	3	9
18	того чтобы	1	8
19	прежде всего	9	8
20	как на	1	8
21	самом деле	6	7
22	отнюдь не	4	7
23	и с	8	7
24	в данном	1	7
25	к тому	1	7
26	не будет	2	7
27	о том	2	7
28	мы должны	1	7
29	и к	6	6
30	с тем	1	6
31	в своих	1	6
32	если бы	1	6
33	все это	4	6
34	и для	2	6
35	для того	1	6
36	что он	2	6
37	всяком случае	3	6
38	для всех	4	6
39	для него	6	6
40	на самом	4	6
41	вопрос о	1	5
42	и на	4	5
43	между собой	2	5
44	во всех	3	5
45	в нем	4	5
46	при этом	6	5
47	он не	2	5
48	было бы	2	5
49	в своей	2	5
50	никогда не	2	5
51	а потому	4	5
52	и только	9	5
53	только в	4	5
54	хотя бы	4	5
55	конечно не	6	5
56	или иной	1	5
57	до сих	3	5
58	себя и	2	5
59	сих пор	3	5
60	а в	3	5
61	жизни в	1	5
62	и то	1	4
63	бы то	1	4
64	но не	1	4
65	себя в	1	4
66	все же	1	4
67	в этой	4	4
68	в корне	1	4
69	то ни	1	4
70	его в	4	4
71	как и	2	4
72	точку зрения	1	4
73	тогда когда	1	4
74	во всем	1	4
75	от того	1	4
76	не могут	2	4
77	приводит к	1	4
78	в мире	1	4
79	можно было	1	4
80	и т.д	1	4
81	путь к	2	4
82	в его	4	4
83	так как	4	4
84	со стороны	1	4
85	вместе с	3	4
86	он будет	1	4
87	что же	1	4
88	как бы	5	4
89	жизни и	3	4
90	что в	3	4
91	все что	4	4
92	и этот	2	3
93	так чтобы	1	3
94	говорить о	2	3
95	и ни	1	3
96	еще не	5	3
97	из этих	2	3
98	что они	1	3
99	в самом	2	3
100	что это	2	3
101	главным образом	1	3
102	и по	2	3
103	в другом	1	3
104	лишь в	1	3
105	для них	1	3
106	несмотря на	1	3
107	но если	1	3
108	мы говорили	1	3
109	знаем что	2	3
110	можно ли	1	3
111	одна из	1	3
112	связи с	1	3
113	в сознании	1	3
114	что оно	2	3
115	той или	1	3
116	данном случае	1	3
117	что может	1	3
118	для этого	2	3
119	сводится к	2	3
120	но мы	4	3
121	что и	2	3
122	в качестве	1	3
123	с нею	2	3
124	в большинстве	3	3
125	в конце	1	3
126	что для	1	3
127	и потому	3	3
128	она может	1	3
129	и как	3	3
130	не есть	2	3
131	говоря о	1	2
132	и есть	3	2
133	к чему	1	2
134	но даже	1	2
135	в ней	1	2
136	с этим	2	2
137	и наконец	4	2
138	но в	4	2
139	не можем	2	2
140	а во-вторых	1	2
141	все эти	5	2
142	во многих	1	2
143	по самому	1	2
144	и вот	3	2
145	мы уже	2	2
146	на этой	3	2
147	на почве	1	2
148	в этих	3	2
149	во время	3	2
150	что такое	5	2
151	друг другу	1	2
152	их в	3	2
153	любовь к	1	2
154	она не	1	2
155	только для	5	2
156	как акт	1	2
157	для нас	2	2
158	у него	2	2
159	в области	3	2
160	деятельности и	1	2
161	к себе	3	2
162	отличается от	1	2
163	и о	2	2
164	культуры и	1	2
165	если они	1	2
166	это только	1	2
167	даже не	3	2
168	и деятельности	1	2
169	в порядке	1	2
170	и что	1	2
171	любви к	1	2
172	к нему	1	2
173	это в	1	2
174	эта работа	1	2
175	отметить что	1	2
176	сделать это	2	2
177	что только	1	2
178	совершенно не	8	2
179	бы ни	1	2
180	уже не	1	2
181	на такой	1	2
182	только на	3	2
183	в начале	2	2
184	его и	1	2
185	центр тяжести	1	2
186	ни в	5	2
187	мы можем	9	2
188	даже и	1	2
189	и даже	4	2
190	у многих	1	2
191	а с	1	2
192	в некоторых	1	2
193	зависит от	1	2
194	а не	1	2
195	большинстве случаев	3	2
196	в частности	2	2
197	так же	2	2
198	в течение	1	2
199	отношения к	3	2
200	есть и	2	2
201	но это	2	2
202	этом и	1	2
203	не подлежит	1	2
204	всем этим	1	2
205	с ним	2	2
206	на это	1	2
207	ее в	2	2
208	с новыми	1	1
209	потом и	1	1
210	и действительно	2	1
211	культурного творчества	1	1
212	же положения	1	1
213	того же	2	1
214	он может	1	1
215	тех же	3	1
216	это и	1	1
217	ту же	2	1
218	культура не	1	1
219	что эти	1	1
220	для достижения	1	1
221	мы не	2	1
222	же как	2	1
223	на место	1	1
224	и дать	1	1
225	в сущности	1	1
226	оно есть	1	1
227	одно прекрасное	1	1
228	без всякого	1	1
229	а другие	1	1
230	он был	1	1
231	на них	2	1
232	не был	1	1
233	столь же	1	1
234	что его	1	1
235	в область	2	1
236	к этому	2	1
237	отказ от	1	1
238	но как	2	1
239	значение и	1	1
240	в общем	3	1
241	с подобным	1	1
242	первый взгляд	1	1
243	в полном	1	1
244	когда он	1	1
245	что по	1	1
246	не являются	1	1
247	достижения этой	1	1
248	этой цели	1	1
249	и материальными	1	1
250	от этого	1	1
251	тон и	1	1
252	привести к	1	1
253	ни один	1	1
254	но ведь	2	1
255	то и	1	1
256	вообще не	2	1
257	на его	1	1
258	не следует	1	1
259	время и	1	1
260	есть та	1	1
261	войти в	2	1
262	находит себе	1	1
263	для всей	1	1
264	момент и	1	1
265	всех областях	1	1
266	входит в	1	1
267	с другими	3	1
268	нечего и	2	1
269	и мы	2	1
270	из русских	1	1
271	уже знаем	1	1
272	в жизни	2	1
273	человека на	1	1
274	не всегда	1	1
275	друга в	1	1
276	жизни но	1	1
277	нет и	2	1
278	и беспрепятственно	1	1
279	в один	4	1
280	и того	1	1
281	одного и	1	1
282	на первый	2	1
283	будет как	1	1
284	от своего	1	1
285	и культуры	1	1
286	даже тогда	1	1
287	никакому сомнению	1	1
288	формы так	1	1
289	бы ценою	1	1
290	ко всему	1	1
291	жизни является	1	1
292	по крайней	3	1
293	на другую	1	1
294	ни было	2	1
295	и начало	1	1
296	вовсе не	1	1
297	же мы	1	1
298	освободиться от	1	1
299	и вся	2	1
300	всех их	1	1
301	нею и	1	1
302	не менее	2	1
303	к такой	1	1
304	его целом	2	1
305	или что	1	1
306	в психике	8	1
307	самого начала	4	1
308	и всегда	1	1
309	и проч	9	1
310	дело в	1	1
311	к новым	1	1
312	исторической и	1	1
313	в основе	3	1
314	полную свободу	1	1
315	это же	1	1
316	только не	1	1
317	в разных	1	1
318	всего на	1	1
319	таким путем	2	1
320	и теперь	3	1
321	этом отношении	1	1
322	что на	2	1
323	в духе	1	1
324	могут быть	3	1
325	похож на	1	1
326	человека в	1	1
327	же самое	1	1
328	должны быть	1	1
329	одну и	1	1
330	теперь знаем	1	1
