N	2gram	Medvedev_V_1	Myshleni
1	в том	2	42
2	том что	2	35
3	в этом	1	24
4	и в	2	20
5	то же	1	16
6	в их	1	12
7	потому что	1	12
8	и то	1	10
9	только в	1	10
10	так как	1	10
11	и не	1	8
12	самом деле	1	7
13	одно и	1	6
14	в самом	1	6
15	и его	1	5
16	в частности	1	5
17	все время	1	4
18	и только	1	4
19	к этому	1	4
20	а только	1	3
21	именно в	1	3
22	столь же	1	3
23	по существу	1	3
24	говоря о	1	2
25	на одном	1	2
26	ясно что	1	2
27	под влиянием	1	2
28	и т.д	1	2
29	том же	1	2
30	далеко не	1	2
31	от других	1	2
32	что слово	1	2
33	главным образом	1	1
34	по своим	1	1
35	этому и	1	1
36	конце концов	2	1
37	даже не	1	1
38	для них	1	1
39	все это	1	1
40	совершенно ясно	1	1
41	в конце	2	1
42	так в	1	1
43	от общего	1	1
44	достаточно но	1	1
45	одном и	1	1
46	не хотел	1	1
47	к созданию	1	1
48	сводится в	1	1
49	и составляет	1	1
50	связанным с	1	1
51	интересует в	1	1
52	по поводу	1	1
53	речи и	1	1
54	которые они	1	1
55	говорили в	1	1
56	тем более	1	1
57	я не	1	1
58	и том	1	1
59	в которых	1	1
60	деле как	1	1
61	каждая новая	1	1
62	но это	1	1
