N	2gram	Potebnia_M_3	OGranits
1	и в	30	13
2	и его	4	12
3	прежде всего	3	9
4	может быть	28	8
5	не может	6	8
6	и не	15	8
7	и т.п	1	7
8	в его	4	7
9	точки зрения	2	7
10	только в	21	6
11	как бы	3	6
12	не только	21	6
13	то что	18	6
14	мы должны	4	6
15	таким образом	14	6
16	художественного произведения	5	5
17	языка и	2	5
18	и т.д	1	5
19	все же	2	5
20	и наконец	2	5
21	в поэзии	1	5
22	с точки	1	5
23	в процессе	1	5
24	и эта	1	5
25	мы не	9	4
26	но мы	2	4
27	тех пор	1	4
28	еще и	1	4
29	но в	1	4
30	до тех	1	4
31	мы можем	3	4
32	то же	23	4
33	лишь в	1	4
34	в сознании	15	4
35	в своей	2	4
36	было бы	9	4
37	все это	4	4
38	в двух	1	4
39	не является	1	4
40	в каждом	3	4
41	вряд ли	1	3
42	и то	8	3
43	в ее	2	3
44	самом деле	2	3
45	так и	11	3
46	г в	1	3
47	понятно что	1	3
48	говорить о	3	3
49	в их	2	3
50	по отношению	5	3
51	за пределы	2	3
52	только путем	1	3
53	общего с	1	3
54	с этим	6	3
55	в которой	3	3
56	в себе	16	3
57	к одному	5	3
58	не как	2	3
59	в одном	2	3
60	так как	13	3
61	одно и	5	3
62	здесь мы	1	3
63	но и	19	3
64	слово в	4	3
65	как и	10	3
66	что же	2	3
67	не в	15	3
68	да и	1	3
69	поэтического произведения	2	3
70	и все	3	3
71	превращается в	1	3
72	отношению к	5	3
73	не столько	2	3
74	что в	17	3
75	в искусстве	3	3
76	ничего общего	2	3
77	и наиболее	1	2
78	для себя	3	2
79	ни одно	1	2
80	данном случае	1	2
81	представим себе	1	2
82	в произведении	3	2
83	и может	3	2
84	которое может	1	2
85	конечно в	1	2
86	мы уже	2	2
87	те же	6	2
88	есть не	7	2
89	мог бы	1	2
90	представлений и	1	2
91	если бы	12	2
92	с самого	1	2
93	себе что	2	2
94	в ней	8	2
95	ее в	1	2
96	речи не	1	2
97	в чем	3	2
98	мы понимаем	1	2
99	между тем	9	2
100	явлений и	2	2
101	в языке	7	2
102	что они	2	2
103	вслед за	3	2
104	чем же	1	2
105	и следовательно	3	2
106	его на	1	2
107	как в	10	2
108	в которую	1	2
109	в данном	1	2
110	в этом	10	2
111	в том	32	2
112	мы видим	2	2
113	тот же	1	2
114	с ними	1	2
115	в действительности	5	2
116	от этого	2	2
117	которое мы	2	2
118	в целом	3	2
119	и тем	5	2
120	же слово	2	2
121	все эти	1	2
122	с одной	7	2
123	думать что	5	2
124	уже в	5	2
125	кажется что	1	2
126	в нем	9	2
127	при этом	3	2
128	языка но	1	2
129	для него	9	2
130	вовсе не	7	2
131	тем что	7	2
132	в них	5	2
133	и внутренняя	1	2
134	в области	2	2
135	с другой	7	2
136	а как	2	2
137	в самом	8	2
138	входит в	2	2
139	может стать	2	2
140	истории языка	1	2
141	одной стороны	3	2
142	не на	1	2
143	а не	15	2
144	другой стороны	4	2
145	между собою	6	2
146	представляет себе	1	2
147	там где	3	2
148	несмотря на	2	2
149	том что	18	2
150	от своего	1	2
151	и при	4	2
152	и ее	1	2
153	так же	3	2
154	который мы	1	2
155	с этой	2	2
156	слова и	5	2
157	художественное произведение	6	2
158	не менее	5	2
159	что эта	2	2
160	не имеет	6	2
161	сознания и	1	2
162	на язык	1	2
163	при восприятии	2	2
164	собственно говоря	2	2
165	бы в	2	2
166	во всем	1	2
167	а в	12	2
