N	2gram	Propp_Isto_2	KFilosof
1	может быть	17	43
2	в его	6	39
3	в нем	7	31
4	не может	5	27
5	и не	11	26
6	по отношению	3	25
7	и в	15	22
8	в себе	4	21
9	в котором	5	21
10	отношению к	3	21
11	и его	3	17
12	а не	5	17
13	только в	6	16
14	в этом	11	13
15	и это	3	12
16	но не	2	12
17	ни в	2	12
18	все эти	4	11
19	в своей	1	11
20	не в	7	11
21	к нему	5	11
22	во всех	2	10
23	это не	2	10
24	все это	3	10
25	и есть	5	9
26	в их	3	9
27	в целом	1	9
28	но и	14	9
29	как бы	6	9
30	и для	2	9
31	было бы	5	8
32	со стороны	1	8
33	не было	2	8
34	то что	12	7
35	во всем	1	7
36	должен быть	1	7
37	на основе	1	7
38	в себя	3	7
39	и здесь	9	7
40	что и	6	7
41	вовсе не	1	7
42	я не	2	6
43	отнюдь не	1	6
44	он не	8	6
45	этот момент	1	6
46	и только	2	6
47	и действительно	1	6
48	уже не	1	6
49	и их	2	6
50	ко мне	2	6
51	но это	4	6
52	в том	6	6
53	мы имеем	15	5
54	но как	1	5
55	все же	9	5
56	но в	6	5
57	не только	18	5
58	то же	10	5
59	но все	5	5
60	его в	10	5
61	как и	2	5
62	от его	1	5
63	но эта	1	5
64	никогда не	15	5
65	ни одно	1	5
66	с ним	1	5
67	со всем	1	5
68	именно в	2	5
69	там где	1	5
70	ее и	1	5
71	хотя бы	2	5
72	не знает	2	5
73	при этом	4	4
74	мне в	1	4
75	здесь мы	3	4
76	бы быть	1	4
77	входит в	1	4
78	тем самым	2	4
79	о нем	4	4
80	в каком	1	4
81	с ними	2	4
82	мира и	1	4
83	могло бы	1	4
84	нисколько не	2	4
85	в одном	5	4
86	только момент	1	4
87	том что	7	4
88	для нас	4	4
89	а в	12	4
90	со мной	2	4
91	что в	12	4
92	самом деле	2	3
93	на самом	2	3
94	из его	1	3
95	для которого	1	3
96	и этот	1	3
97	мы не	3	3
98	что это	6	3
99	в ней	4	3
100	еще не	9	3
101	и на	4	3
102	тем как	1	3
103	ясно и	2	3
104	и этим	1	3
105	к чему	2	3
106	всех этих	3	3
107	и совершенно	1	3
108	из него	2	3
109	могла бы	2	3
110	если ты	2	3
111	в другом	9	3
112	нигде не	2	3
113	что этот	3	3
114	не менее	1	3
115	я буду	3	3
116	ничего не	7	3
117	могут быть	2	3
118	здесь не	2	3
119	здесь нет	2	3
120	в виду	2	3
121	нему в	1	3
122	о том	3	3
123	того что	3	3
124	быть и	1	3
125	был бы	2	3
126	тем что	4	3
127	что не	1	3
128	и пр	7	3
129	до конца	1	3
130	по своему	1	3
131	от него	1	3
132	не должен	4	3
133	только с	2	3
134	но можно	1	3
135	в свою	1	3
136	в то	1	3
137	на своем	1	3
138	себя как	1	2
139	мы здесь	6	2
140	и то	2	2
141	он может	1	2
142	это и	1	2
143	едва ли	1	2
144	есть на	2	2
145	а как	1	2
146	вопрос о	4	2
147	это единственное	1	2
148	с его	1	2
149	к которой	1	2
150	себя за	1	2
151	как в	5	2
152	как к	1	2
153	и как	1	2
154	от этого	1	2
155	в этой	4	2
156	и тот	1	2
157	имеем в	5	2
158	человек не	1	2
159	как оно	1	2
160	так и	5	2
161	не будет	1	2
162	и может	2	2
163	а по	1	2
164	в жизни	2	2
165	из нее	1	2
166	соответствии с	1	2
167	с тем	9	2
168	место и	1	2
169	но я	1	2
170	что значит	1	2
171	я его	3	2
172	тем не	1	2
173	и эти	2	2
174	войти в	1	2
175	и под	1	2
176	по себе	1	2
177	случае мы	2	2
178	нечто вроде	1	2
179	что эта	2	2
180	дело не	4	2
181	в процессе	1	2
182	того чтобы	2	2
183	к себе	2	2
184	и именно	2	2
185	вошли в	1	2
186	вокруг него	1	2
187	его с	1	2
188	бы он	1	2
189	чтобы стать	1	2
190	не живет	1	2
191	чтобы быть	1	2
192	всей своей	1	2
193	говорить о	1	2
194	и когда	2	2
195	пройти мимо	1	2
196	это только	2	2
197	сводится к	1	2
