N	4gram	Vinokur_St_2	EvropaiC
1	совершенно так же как	2	3
2	заключается в том что	1	3
3	бы то ни было	2	2
4	в то же время	1	2
5	дело в том что	4	1
6	одно и то же	1	1
7	уже о том что	1	1
8	говоря уже о том	1	1
9	по одному и тому	1	1
10	надо иметь в виду	1	1
11	о том что он	3	1
12	как мы видели выше	1	1
13	что и для самого	1	1
14	одному и тому же	1	1
15	не в том что	1	1
16	в том что он	2	1
17	но вместе с тем	1	1
18	иметь в виду следующие	1	1
19	в том же духе	1	1
20	принять во внимание что	1	1
21	не говоря уже о	1	1
