N	4gram	Bakhtin_Pr_1	Formalny
1	в то же время	3	8
2	с одной стороны и	1	4
3	в настоящее время в	1	3
4	что бы то ни	1	2
5	бы то ни стало	1	2
6	и не может быть	1	2
7	во что бы то	1	2
8	но в то же	1	2
9	на произведение в его	1	1
10	по отношению к этой	1	1
11	сами по себе не	1	1
12	и с точки зрения	1	1
13	произведения в большинстве случаев	1	1
14	в строгом смысле этого	1	1
15	на самом же деле	1	1
16	должно быть соотнесено с	1	1
17	с точки зрения самого	2	1
18	отсюда отнюдь не следует	1	1
19	в своем творчестве если	1	1
20	и в то же	2	1
21	не выходя за его	1	1
22	не выходит за пределы	1	1
23	во всех своих моментах	2	1
24	по сравнению с предшествующим	1	1
25	в его отличии от	1	1
26	выходя за его пределы	1	1
27	действительностью познания и поступка	1	1
28	бы то ни было	2	1
29	произведение в его целом	1	1
30	отвлекаясь по возможности от	1	1
31	идет вовсе не о	1	1
32	не может и не	2	1
33	отношения к материалу к	1	1
34	строгом смысле этого слова	1	1
35	в художественном произведении как	2	1
36	в его целом ни	1	1
37	не говоря уже о	1	1
38	в психике художника и	1	1
39	истории того или иного	1	1
