N	3gram	Kanaev_Sov_1	UchenyiS
1	в конечном счете	1	4
2	не может быть	4	4
3	то же время	1	3
4	бы то ни	1	3
5	в то же	1	3
6	в этой области	1	3
7	то ни было	1	3
8	не могут быть	1	2
9	в самом деле	1	2
10	в этом смысле	1	2
11	то же самое	2	2
12	до сих пор	1	2
13	в том что	1	2
14	по крайней мере	1	2
15	не в том	1	1
16	это то же	1	1
17	равно как и	1	1
18	он может быть	1	1
19	в этом случае	1	1
20	этом смысле можно	1	1
21	и в то	1	1
22	же самое что	1	1
23	и т.д пока	1	1
24	не было бы	1	1
25	и прежде всего	1	1
26	конечном счете только	1	1
27	друг с другом	2	1
28	что все они	1	1
29	а не только	1	1
30	в данном случае	1	1
31	может быть в	1	1
32	с одной стороны	1	1
