N	2gram	Berdyaev_O_1	Sotsiolo
1	все это	6	7
2	в этом	12	5
3	в том	5	5
4	не только	11	3
5	в его	7	3
6	и в	19	3
7	не в	11	3
8	может быть	11	2
9	по природе	1	2
10	и что	1	2
11	должна быть	1	2
12	было бы	3	2
13	и заключается	1	2
14	ведь это	2	2
15	но и	13	2
16	как будто	1	2
17	еще не	3	2
18	то что	5	2
19	в частности	1	2
20	в конце	1	2
21	что в	4	2
22	как бы	3	2
23	том что	2	2
24	и не	13	1
25	в мире	1	1
26	и есть	3	1
27	в этой	5	1
28	в процессе	1	1
29	в своей	2	1
30	но сам	1	1
31	бы в	1	1
32	слишком много	1	1
33	по себе	2	1
34	все эти	4	1
35	у которых	1	1
36	и его	4	1
37	в сущности	1	1
38	быть не	1	1
39	единственный путь	1	1
40	что она	1	1
41	в них	1	1
42	и никакая	1	1
43	что он	3	1
44	тем же	1	1
45	что все	2	1
46	он ни	1	1
47	не было	9	1
48	в каждом	1	1
49	что творчество	1	1
50	а с	1	1
51	но не	1	1
52	его собственная	1	1
53	и более	1	1
54	вовсе не	1	1
55	все же	2	1
56	вопросом о	2	1
57	а в	5	1
58	бы он	1	1
59	это не	3	1
60	никогда не	9	1
61	в силу	1	1
62	науки о	1	1
63	во всяком	1	1
64	него и	4	1
65	в котором	1	1
66	и о	2	1
67	же это	2	1
68	в этих	3	1
69	том как	1	1
70	у него	22	1
71	из путей	1	1
72	как и	6	1
73	психологии и	1	1
74	с ним	3	1
75	мысли в	1	1
76	и сложность	1	1
77	один из	1	1
78	в строгом	1	1
79	и как	1	1
80	же не	1	1
81	всему этому	1	1
82	его в	2	1
83	о том	3	1
84	границы и	1	1
85	и потому	2	1
86	хотя бы	3	1
87	и остаются	1	1
88	она должна	1	1
89	ничего не	2	1
90	что это	1	1
91	на этот	1	1
92	мы не	1	1
93	не может	4	1
94	прежде всего	9	1
95	этом нужно	1	1
96	всяком случае	1	1
97	он говорит	1	1
98	тем что	2	1
99	так и	2	1
100	творчества это	1	1
101	есть метод	1	1
102	может служить	1	1
