N	4gram	Vinokur_Vv_1	Myslijsy
1	одно и то же	1	5
2	в то же время	5	5
3	только в том что	1	2
4	одной и той же	2	2
5	лишь в том что	1	1
6	легко представить себе что	1	1
7	того что в ней	1	1
8	только после того как	2	1
9	собственном смысле этого слова	1	1
10	языка в чем же	1	1
11	не сам по себе	1	1
12	разница только в том	1	1
13	вовсе не в том	1	1
14	тем не менее совершенно	1	1
15	с одной стороны и	3	1
16	в строгом смысле этого	1	1
17	и той же области	1	1
18	и в самом деле	3	1
19	смысле может быть названо	1	1
20	по самой своей природе	2	1
21	не только в том	1	1
22	но вместе с тем	1	1
23	а в том чтобы	1	1
24	заключается в том что	2	1
25	заключается не только в	1	1
26	не говоря уже о	1	1
27	в собственном смысле этого	1	1
28	само по себе это	1	1
