N	2gram	Nazirov_Tr_1	Analitik
1	может быть	7	29
2	в том	2	27
3	не может	5	22
4	и не	7	21
5	в частности	2	19
6	и в	18	18
7	но и	4	17
8	а не	1	17
9	представляет собой	1	16
10	отнюдь не	3	15
11	не только	8	15
12	тогда как	1	14
13	не в	2	14
14	в этом	9	13
15	как и	5	13
16	в его	3	13
17	при этом	3	12
18	том что	4	12
19	в себе	4	11
20	то есть	3	11
21	но не	1	10
22	то же	5	9
23	в то	5	9
24	в мире	3	8
25	но в	6	8
26	нуждается в	1	8
27	в той	1	8
28	не есть	1	8
29	тем самым	3	7
30	к тому	2	7
31	этого слова	1	7
32	я и	1	6
33	отличие от	2	6
34	в самом	2	6
35	это не	5	6
36	в своей	1	6
37	в отличие	2	6
38	по своей	1	6
39	же время	6	6
40	только в	1	6
41	то что	4	6
42	прежде всего	4	6
43	и на	7	5
44	и как	3	5
45	в целом	4	5
46	в этой	4	5
47	лишь в	1	5
48	и его	6	5
49	о том	2	5
50	между тем	1	5
51	как бы	7	5
52	что в	4	5
53	столь же	2	4
54	более чем	1	4
55	все же	5	4
56	по себе	1	4
57	в области	1	4
58	ни в	2	4
59	могут быть	1	4
60	так и	5	4
61	с ним	3	4
62	в другом	1	4
63	на вопрос	1	4
64	того что	1	4
65	дело с	1	4
66	уже не	2	4
67	с другим	1	4
68	именно в	1	4
69	вместе с	1	4
70	в литературе	1	4
71	и т	1	3
72	одним из	1	3
73	и есть	1	3
74	как он	1	3
75	в нем	4	3
76	он не	2	3
77	по природе	1	3
78	таким образом	1	3
79	ведет к	1	3
80	в ходе	2	3
81	в котором	1	3
82	своего рода	3	3
83	того чтобы	1	3
84	т п	1	3
85	о нем	1	3
86	в таком	2	3
87	как будто	3	3
88	не могут	2	3
89	а также	1	3
90	к нему	3	3
91	с его	2	3
92	еще не	4	3
93	вопрос об	1	3
94	с одной	1	3
95	обратиться к	1	3
96	никто не	3	3
97	что и	2	3
98	не случайно	2	3
99	на уровне	1	3
100	что не	1	3
101	быть не	1	3
102	и все	4	3
103	хотя бы	1	3
104	я в	1	3
105	что он	6	3
106	самом деле	1	2
107	в первом	2	2
108	той же	1	2
109	а как	2	2
110	на себя	1	2
111	х годов	1	2
112	и то	2	2
113	между собой	1	2
114	данном случае	2	2
115	в противовес	1	2
116	отношение к	2	2
117	не просто	2	2
118	за пределы	1	2
119	как говорит	2	2
120	что именно	1	2
121	то в	1	2
122	в которой	1	2
123	природе своей	1	2
124	все эти	3	2
125	бы не	1	2
126	и до	2	2
127	одному из	1	2
128	не к	1	2
129	свидетельствует о	1	2
130	и по	1	2
131	на этом	1	2
132	и с	7	2
133	на все	1	2
134	несмотря на	5	2
135	для чего	1	2
136	перед собой	1	2
137	для него	3	2
138	не столько	1	2
139	вопрос о	2	2
140	в эпизоде	1	2
141	только не	1	2
142	никогда не	2	2
143	потому что	2	2
144	как мы	1	2
145	роль в	1	2
146	и о	1	2
147	быть может	1	2
148	мысль о	1	2
149	и сам	3	2
150	еще в	2	2
151	должно быть	3	2
152	является по	1	2
153	не сводится	1	2
154	романа в	1	2
155	один из	3	2
156	в двух	1	2
157	который в	2	2
158	один в	3	2
159	и потому	1	2
160	в данном	2	2
161	не является	1	2
162	это как	1	2
163	например в	1	1
164	человека и	1	1
165	это сюжетное	1	1
166	сам по	1	1
167	он показывает	1	1
168	смысл этого	1	1
169	его сюжетной	1	1
170	он всегда	4	1
171	сам автор	1	1
172	в какой-то	1	1
173	должна быть	1	1
174	в обиход	1	1
175	в году	9	1
176	для достижения	1	1
177	которую я	1	1
178	ивана петровича	6	1
179	не вполне	1	1
