1	у нас	2	3
2	все это	6	2
3	видеть в	1	2
4	в ней	1	2
5	больше чем	1	2
6	и не	9	2
7	и в	46	1
8	со всем	1	1
9	все же	6	1
10	на самом	1	1
11	должна быть	1	1
12	необходимо отметить	1	1
13	не только	11	1
14	далеко не	2	1
15	таким образом	3	1
16	следовало бы	1	1
17	об этом	1	1
18	в данном	2	1
19	а не	4	1
20	остановиться на	1	1
21	для которой	1	1
22	было бы	2	1
23	и более	2	1
24	и о	2	1
25	прежде всего	14	1
26	более что	2	1
27	кроме того	3	1
28	и во	6	1
29	в пределах	5	1
30	отнюдь не	4	1
31	и на	7	1
32	так и	7	1
33	в речи	1	1
34	говорить о	2	1
35	и потому	2	1
36	между ними	2	1
37	никак не	1	1
38	всего в	3	1
39	во всяком	2	1
40	и ее	1	1
41	свою книгу	1	1
42	нет но	1	1
43	еще не	6	1
44	выходит за	1	1
45	не было	3	1
46	их что	1	1
47	в значительной	1	1
48	совершенно не	1	1
49	с другой	2	1
50	в своей	1	1
51	по этим	1	1
52	меньше чем	1	1
53	до конца	2	1
54	тем более	3	1
55	что все	2	1
56	вопрос о	1	1
57	за пределы	1	1
58	в эпоху	4	1
59	что в	5	1
60	другой стороны	1	1
