N	3gram	Losev_Vlad_3	Literetu
1	то же время	2	7
2	в то же	3	7
3	в этом отношении	2	5
4	в отличие от	3	5
5	к тому же	5	5
6	не говоря уже	1	4
7	в данном случае	2	4
8	с одной стороны	3	4
9	о том что	8	4
10	в том что	10	4
11	в том числе	1	3
12	с точки зрения	6	3
13	не может быть	6	3
14	в самом деле	1	2
15	то же самое	1	2
16	одной стороны и	2	2
17	бы то ни	3	2
18	не только в	1	2
19	то ни было	1	2
20	так или иначе	2	2
21	с другой стороны	2	2
22	и вместе с	2	2
23	той или иной	1	2
24	но и не	1	2
25	на то что	2	2
26	говоря уже об	1	1
27	что иное как	1	1
28	что он один	1	1
29	начинается с того	1	1
30	о том как	1	1
31	как будто бы	1	1
32	и не только	1	1
33	но так или	1	1
34	оно должно быть	2	1
35	только в том	3	1
36	именно то что	1	1
37	хотя бы и	3	1
38	вместе с тем	6	1
39	у него не	1	1
40	в первую очередь	1	1
41	в себе и	2	1
42	то что в	3	1
43	в другом и	1	1
44	в те годы	2	1
45	с тех пор	1	1
46	и тем не	1	1
47	и то что	4	1
48	не что иное	1	1
49	содержит в себе	4	1
50	и еще раз	2	1
51	и потому не	1	1
52	это и есть	1	1
53	в связи с	2	1
54	потому не может	1	1
55	вопрос о том	1	1
56	для того чтобы	1	1
57	а именно то	1	1
58	и в том	2	1
59	сказать и о	1	1
60	а не только	2	1
61	на вопрос что	1	1
62	что несмотря на	2	1
63	этой точки зрения	1	1
64	более или менее	5	1
65	но уже в	1	1
66	не впадая в	1	1
67	еще и еще	2	1
68	еще в году	2	1
69	ничего общего с	2	1
70	а не просто	1	1
71	не только не	1	1
72	означает не что	1	1
73	с этой точки	1	1
74	может и не	1	1
75	мы уже не	1	1
76	к тому что	2	1
77	сама по себе	1	1
78	тем не менее	9	1
79	но еще и	2	1
80	на наш взгляд	1	1
81	и для всего	1	1
