N	3gram	Ircho_Kome_2	Dialekti
1	с точки зрения	1	14
2	тем не менее	1	10
3	не может быть	1	6
4	в самом деле	1	5
5	само по себе	1	5
6	о том что	4	5
7	на первый план	1	4
8	то время как	2	4
9	в то время	3	4
10	имеется в виду	1	3
11	с одной стороны	2	3
12	в том что	5	3
13	в силу этого	2	2
14	не говоря уже	2	2
15	того или иного	1	2
16	говоря уже о	2	2
17	ни в одной	1	2
18	точно так же	1	2
19	одно из двух	1	2
20	с другой стороны	1	2
21	что это не	1	2
22	и с этой	2	2
23	во всяком случае	2	2
24	той или иной	1	2
25	к тому что	2	2
26	к тому же	10	2
27	так или иначе	3	2
28	признаки по которым	1	1
29	за ее пределами	1	1
30	по существу своему	1	1
31	потому что в	1	1
32	и во всяком	1	1
33	до сих пор	2	1
34	и в то	1	1
35	и та же	1	1
36	мне его не	1	1
37	и во всех	1	1
38	или в мире	1	1
39	я думаю что	1	1
40	только потому что	2	1
41	одна и та	1	1
42	и в том	1	1
43	и стало быть	1	1
44	более или менее	1	1
45	признать что в	1	1
46	то же время	3	1
47	связи с этим	1	1
48	что у него	2	1
49	но все эти	1	1
50	бы то ни	2	1
51	речь идет о	2	1
52	то ни было	2	1
53	и за ее	1	1
54	в то же	3	1
55	в связи с	3	1
56	то это опять	1	1
57	что и в	2	1
58	при всем том	1	1
