N	3gram	Kanaev_Sov_1	KFilosof
1	по отношению к	1	21
2	не может быть	4	11
3	с точки зрения	5	10
4	может быть только	1	6
5	на самом деле	1	3
6	в этом смысле	1	3
7	не было бы	1	3
8	и в этом	1	3
9	но все эти	1	3
10	может быть в	1	3
11	но это уже	1	2
12	он может быть	1	2
13	ничего общего не	1	2
14	бы то ни	1	2
15	то ни было	1	2
16	не может дать	1	2
17	один и тот	1	2
18	и ни в	1	2
19	то же время	1	2
20	раз и навсегда	1	2
21	той или иной	1	2
22	в то же	1	2
23	тем не менее	2	2
24	в том что	1	2
25	и тот же	1	2
26	не может не	3	1
27	мы говорим о	1	1
28	ни в один	1	1
29	но только не	1	1
30	ровно ничего не	1	1
31	принципиально не может	1	1
32	равно как и	1	1
33	и может быть	1	1
34	в настоящее время	2	1
35	можно говорить об	1	1
36	влечет за собой	1	1
37	по самому своему	1	1
38	смысле можно говорить	1	1
39	не подлежит сомнению	2	1
40	и во всех	1	1
41	в зависимости от	4	1
42	и та же	1	1
43	и именно в	1	1
44	ведь это не	1	1
45	может быть и	2	1
46	и в то	1	1
47	между ним и	1	1
48	как бы два	1	1
49	в известном смысле	1	1
50	в том случае	1	1
51	в одном случае	1	1
52	не в том	1	1
53	дело в том	1	1
54	во всяком случае	2	1
55	одна и та	1	1
56	заключать в себе	1	1
57	играть в нем	1	1
58	и все же	1	1
59	может быть таким	1	1
60	мы не можем	6	1
61	же самое что	1	1
62	в свою очередь	2	1
63	но отнюдь не	1	1
64	в конечном счете	1	1
65	когда мы говорим	1	1
66	и мы получим	1	1
67	в себе в	1	1
68	том случае когда	1	1
69	этом смысле можно	1	1
70	жизни вообще и	1	1
71	то же самое	2	1
72	общего не имеет	1	1
73	времени и пространства	2	1
