N	2gram	Savitsky_P_1	Stilisti
1	и в	14	42
2	не только	17	27
3	как бы	4	27
4	прежде всего	3	22
5	хотя бы	8	17
6	то же	9	15
7	но и	6	15
8	и не	12	14
9	не может	4	12
10	может быть	5	12
11	как и	1	11
12	точки зрения	3	11
13	отнюдь не	2	10
14	в этом	10	10
15	и как	3	10
16	мы должны	4	10
17	что мы	3	10
18	мы не	3	9
19	в то	7	9
20	для того	3	9
21	то что	4	9
22	в ней	6	8
23	все же	1	8
24	в себе	3	8
25	тем самым	3	8
26	и это	2	8
27	с тем	3	8
28	и на	1	7
29	в которой	1	7
30	было бы	6	7
31	и тем	2	7
32	никогда не	1	7
33	же время	7	7
34	потому что	3	7
35	того чтобы	1	7
36	с его	1	7
37	только в	7	7
38	мы можем	1	7
39	а не	2	7
40	во всех	2	6
41	в этой	1	6
42	в нем	3	6
43	не в	5	6
44	в области	11	6
45	или иной	1	6
46	уже в	1	5
47	одно и	1	5
48	и с	2	5
49	с точки	3	5
50	а в	4	5
51	те же	1	5
52	в его	2	5
53	точек зрения	2	5
54	в живом	1	5
55	вместе с	1	5
56	и то	1	4
57	тем же	1	4
58	себя в	1	4
59	что именно	1	4
60	и к	4	4
61	но в	9	4
62	с определенной	1	4
63	в самом	1	4
64	что это	1	4
65	в каждом	1	4
66	его в	1	4
67	и без	3	4
68	так называемые	2	4
69	было в	2	4
70	если бы	4	4
71	того что	2	4
72	мы видим	1	4
73	в качестве	9	4
74	если мы	1	4
75	были бы	1	4
76	связаны с	1	4
77	не просто	1	4
78	а с	1	4
79	и пр	5	4
80	все это	2	4
81	так же	1	4
82	отношения к	2	3
83	и само	1	3
84	слова о	1	3
85	еще не	1	3
86	хотя и	3	3
87	если он	1	3
88	не к	2	3
89	и вот	2	3
90	заключает в	2	3
91	это не	3	3
92	том что	4	3
93	бы мы	1	3
94	что было	1	3
95	да и	2	3
96	слова но	2	3
97	что оно	1	3
98	в ее	2	3
99	и здесь	1	3
100	связь между	1	3
101	теперь в	2	3
102	только на	1	3
103	из них	2	3
104	представить себе	1	3
105	в котором	4	3
106	что и	1	3
107	и уже	1	3
108	ни на	1	3
109	в начале	2	3
110	но для	1	3
111	для нас	2	3
112	главным образом	2	3
113	я и	3	2
114	также и	1	2
115	вопрос о	1	2
116	не нужно	2	2
117	но не	3	2
118	помнить что	2	2
119	которая и	1	2
