N	3gram	Tiupa_Hudo_1	Narrotol
1	в том что	6	8
2	дамы с собачкой	4	7
3	не только в	2	6
4	не сводится к	1	6
5	в данном случае	1	6
6	с одной стороны	1	5
7	по отношению к	8	5
8	в отличие от	1	5
9	о том что	9	4
10	состоит в том	1	4
11	тем не менее	3	4
12	в то же	8	3
13	при встрече с	2	3
14	от первого лица	1	3
15	к себе самому	2	3
16	к тому что	4	3
17	в конечном счете	2	3
18	того или иного	2	3
19	но при этом	1	3
20	в этом отношении	3	3
21	то же время	8	3
22	дома с мезонином	1	3
23	тогда как в	1	2
24	не случайно в	2	2
25	а в том	1	2
26	в магнитном поле	1	2
27	и т п	8	2
28	характер внешняя сторона	1	2
29	характеры действующих лиц	2	2
30	не только не	1	2
31	в начале рассказа	1	2
32	при всей своей	1	2
33	в ответ на	1	2
34	так и по	1	2
35	своей собственной жизни	1	2
36	его жизни так	1	2
37	видя в нем	1	2
38	на самом деле	1	2
39	в равной степени	1	2
40	внешняя сторона личности	1	2
41	творец своего счастья	1	2
42	не может быть	2	2
43	как субъекта самоопределения	1	2
44	в глазах автора	3	2
45	мы узнаем что	1	2
46	в том как	1	2
47	с точки зрения	3	2
48	к себе и	1	2
49	на то чтобы	2	2
50	было видно что	1	2
51	по своей природе	2	2
52	увидеть в себе	1	2
53	как уже говорилось	1	2
54	на стороне лиды	2	2
55	тому что он	2	2
56	как бы в	1	2
57	характер и личность	2	2
58	задачу лидия волчанинова	1	1
59	внутреннему бытию характер	1	1
60	внутренние жесты самоактуализации	1	1
61	когда все утихло	1	1
62	от росы весь	1	1
63	xx века в	1	1
64	лессинговой аксиомы характерологичности	1	1
65	же формируется в	1	1
66	посещало подлинное прозрение	1	1
67	обстоятельствам и нормам	1	1
68	в последнем разговоре	1	1
69	сказал что они	1	1
70	направил свои усилия	1	1
71	подлинным художником хотя	1	1
72	я о ради	1	1
73	жизнь которая не	1	1
74	тоскливую юность далее	1	1
75	к созерцательности и	1	1
76	не спасаем человечества	1	1
77	форма общечеловеческого которое	1	1
78	в глазах чехова	1	1
79	иной раз того	1	1
80	своего умения скрывать	1	1
81	лиды и причина	1	1
82	и по глазам	1	1
83	чехов наследует это	1	1
84	бабой но для	1	1
85	кого до чехова	1	1
86	тогда как во	1	1
87	сохраните черты характера	1	1
88	его мироотношение одушевленное	1	1
89	приданое к тому	1	1
90	день ничего не	1	1
91	и личным счастьем	1	1
92	возможность неадаптивного пути	1	1
93	не случай по	1	1
94	разговаривать не глядя	1	1
