N	2gram	Medvedev_S_1	Myshleni
1	в этом	5	29
2	и в	3	26
3	не только	3	24
4	то что	2	24
5	таким образом	2	23
6	в том	5	18
7	и не	1	18
8	том что	2	17
9	как и	1	15
10	с помощью	1	13
11	и его	1	12
12	что в	2	12
13	но и	2	11
14	не может	1	11
15	в сущности	1	9
16	тому что	1	9
17	мысли в	1	9
18	тем что	1	9
19	то же	2	8
20	что она	1	8
21	что он	1	8
22	только в	2	8
23	мы не	1	7
24	может быть	2	7
25	прежде всего	1	7
26	по отношению	2	6
27	все же	1	6
28	что это	1	6
29	все эти	1	6
30	было бы	2	6
31	между собой	1	6
32	и что	2	6
33	связь между	1	6
34	именно в	1	6
35	как бы	2	6
36	в смысле	2	6
37	мы должны	1	6
38	тем же	1	5
39	в целом	1	5
40	в силу	1	5
41	в процессе	1	5
42	же самое	1	5
43	никак не	1	5
44	с одной	1	5
45	одной стороны	1	5
46	в данном	1	5
47	отношению к	2	5
48	бы в	1	5
49	еще не	2	4
50	с другой	1	4
51	это и	2	4
52	в котором	1	4
53	не в	3	4
54	никогда не	1	4
55	связи с	1	4
56	в области	1	4
57	перейти к	1	4
58	о том	1	4
59	в его	3	4
60	и только	3	4
61	в конце	2	4
62	нужно было	2	4
63	и наконец	1	4
64	что эти	1	3
65	в чем	1	3
66	но не	1	3
67	очевидно что	2	3
68	в этой	1	3
69	и по	1	3
70	так и	1	3
71	и заключается	2	3
72	в своей	1	3
73	том и	1	3
74	по себе	1	3
75	к изучению	1	3
76	но только	1	3
77	представляется нам	1	3
78	для этого	1	3
79	с ним	1	3
80	нашей работы	1	3
81	это не	1	3
82	представить себе	1	3
83	исторического развития	2	3
84	и потому	1	3
85	и о	1	3
86	все это	7	3
87	слова но	1	3
88	между ними	1	3
89	в то	1	3
90	и есть	1	2
91	благодаря тому	1	2
92	столь же	1	2
93	время в	1	2
94	конечном счете	1	2
95	друг от	1	2
96	перед нами	1	2
97	понимания природы	1	2
98	его в	1	2
99	на основании	1	2
100	в этих	1	2
101	даже в	1	2
102	ничего не	1	2
103	ли не	1	2
104	от друга	1	2
105	что все	1	2
106	по природе	2	2
107	образом в	1	2
108	в конечном	1	2
109	должно было	1	2
110	наконец в	1	2
111	в лучшем	1	2
112	один из	1	2
113	ведь это	2	2
114	вовсе не	1	2
115	что на	1	2
116	благодаря этому	1	2
117	лучшем случае	1	2
118	она должна	1	2
119	она может	2	2
120	развития и	1	2
121	и самым	1	2
122	для нас	3	2
123	а в	1	2
124	но именно	1	2
125	во всяком	1	2
126	полагает что	1	1
127	но она	1	1
128	не пошел	1	1
129	ни одно	1	1
130	сказать и	1	1
131	но как	1	1
132	только тогда	1	1
133	и никак	1	1
134	он различает	1	1
135	и будет	1	1
136	за пределы	2	1
137	сама по	1	1
138	отнюдь не	1	1
139	дает нам	1	1
140	и как	1	1
141	но ведь	3	1
142	идей и	2	1
143	новое и	1	1
144	свойств и	1	1
145	на все	1	1
146	этот основной	1	1
147	развития по	1	1
148	различает два	1	1
149	со своими	1	1
150	образования понятий	1	1
151	иначе говоря	1	1
152	остается в	1	1
153	их на	1	1
154	его построения	1	1
155	этой области	1	1
156	хотелось бы	1	1
157	дело не	2	1
158	исследование и	1	1
159	внутреннего единства	1	1
160	больше того	1	1
161	факта что	1	1
162	заключается что	2	1
163	подвести итоги	1	1
164	и должно	1	1
165	происходит не	1	1
166	между тем	1	1
167	место в	1	1
168	эти два	1	1
169	тотчас же	1	1
170	обобщения как	1	1
171	и мы	2	1
172	и самые	1	1
173	есть процесс	1	1
174	всего не	1	1
175	всяком случае	1	1
176	не мешает	1	1
177	это же	1	1
178	конечно не	1	1
179	это неизбежно	1	1
180	в виде	1	1
181	собой не	1	1
182	у него	1	1
183	как будто	2	1
184	в них	1	1
185	значении слова	1	1
186	к которому	2	1
187	как же	3	1
188	а с	1	1
189	образом недостаточная	1	1
190	не было	1	1
191	основной вопрос	1	1
192	на этот	1	1
193	в связи	1	1
194	в частности	2	1
195	он говорит	1	1
196	и границы	1	1
197	по существу	2	1
198	это значит	1	1
199	быть не	1	1
200	как только	2	1
201	только для	1	1
202	в результате	2	1
203	конце концов	2	1
204	своих мыслей	1	1
205	из тех	1	1
206	только как	2	1
207	него и	1	1
208	являются те	1	1
209	в заключение	1	1
210	вопросов в	1	1
211	они не	1	1
