N	3gram	Tiupa_Hudo_1	Mirosoze
1	не может быть	2	17
2	с тем что	1	3
3	заключает в себе	1	3
4	и в самом	3	3
5	и в конце	1	2
6	не может не	1	2
7	прежде всего в	1	2
8	по отношению к	8	2
9	до сих пор	2	2
10	что он не	2	2
11	к тому чтобы	1	2
12	в том смысле	1	2
13	не только в	2	2
14	в конце концов	1	2
15	как будто бы	1	2
16	он уже не	1	2
17	в нем не	1	2
18	он не знает	1	2
19	он живет в	1	2
20	в этом он	1	2
21	в высшей степени	1	2
22	но и от	1	1
23	на том что	1	1
24	потому что он	1	1
25	ни с какой	1	1
26	к жизни в	1	1
27	в самом деле	4	1
28	то что ведь	1	1
29	в существовании этого	1	1
30	потому что не	1	1
31	как и все	1	1
32	человека а не	1	1
33	том случае если	1	1
34	в иных случаях	1	1
35	в отличие от	1	1
36	и быть может	3	1
37	и т п	8	1
38	ни у кого	1	1
39	очень существенно для	1	1
40	в том случае	1	1
41	утра до вечера	1	1
42	и вот я	1	1
43	это прежде всего	2	1
44	что в центре	1	1
45	в значительной степени	2	1
46	и по отношению	1	1
47	не до конца	1	1
48	не только для	1	1
49	не в том	2	1
50	в этих словах	2	1
51	в этот момент	1	1
52	несет в себе	3	1
53	во всяком случае	1	1
54	одна и та	1	1
55	как бы в	1	1
56	момент когда он	1	1
57	в себе и	1	1
58	между этими двумя	1	1
59	с того что	1	1
60	достоевского и л	1	1
61	о том что	9	1
62	можно было бы	4	1
63	и та же	1	1
64	во многих отношениях	1	1
65	в том что	6	1
66	она не может	1	1
67	с утра до	1	1
68	не только от	1	1
