N	2gram	Ircho_Kome_3	IolandNe
1	и с	4	3
2	и не	21	2
3	должен быть	2	2
4	в этом	8	2
5	он не	5	2
6	ничего не	3	2
7	что в	5	2
8	как отец	1	1
9	только что	7	1
10	нисколько не	3	1
11	что для	2	1
12	все эти	1	1
13	после смерти	1	1
14	с другой	4	1
15	о творчестве	1	1
16	того чтобы	6	1
17	преступления и	1	1
18	стороны он	1	1
19	отношению к	3	1
20	слишком много	1	1
21	и о	2	1
22	не так	3	1
23	говорить о	3	1
24	не слишком	2	1
25	не дает	4	1
26	что при	1	1
27	вплоть до	2	1
28	от нее	3	1
29	в целом	3	1
30	и та	1	1
31	к отцу	2	1
32	это было	1	1
33	эпизод с	1	1
34	во многом	1	1
35	так и	4	1
36	и со	2	1
37	что последний	1	1
38	видит в	1	1
39	а для	1	1
40	в основе	2	1
41	них не	1	1
42	а позднее	1	1
43	жизни и	1	1
44	по отношению	5	1
45	и сам	5	1
46	перед отцом	3	1
47	стало быть	1	1
48	по поводу	1	1
49	если бы	8	1
50	того же	6	1
51	от этого	1	1
52	с жизнью	1	1
53	как смерть	1	1
54	а с	1	1
55	всего творчества	1	1
56	и еще	3	1
57	это был	1	1
58	чтобы доказать	1	1
59	дает и	1	1
60	в первую	1	1
61	в руки	2	1
62	только для	2	1
63	и тот	3	1
64	первую очередь	1	1
65	бы его	1	1
66	а также	2	1
67	для того	6	1
68	бы в	4	1
69	а в	7	1
70	очевидно что	1	1
71	по существу	2	1
72	и в	22	1
73	как только	1	1
74	и гоголя	1	1
75	творчестве так	1	1
76	не случайно	1	1
77	все это	5	1
78	на котором	1	1
79	более чем	5	1
80	со всеми	1	1
81	тем что	5	1
82	а по	5	1
83	он с	1	1
84	свою жену	1	1
85	я не	1	1
86	другой стороны	2	1
87	никогда не	3	1
88	в них	3	1
89	нее и	1	1
90	и без	2	1
