N	3gram	Voloshinov_1	slovoVRo
1	в то же	9	12
2	то же время	7	12
3	той или иной	3	9
4	с точки зрения	5	8
5	в большинстве случаев	1	6
6	не может не	1	5
7	и в то	2	5
8	но в то	2	4
9	с другой стороны	1	4
10	и в особенности	1	4
11	хотя бы и	1	3
12	более или менее	1	3
13	на слушателя и	1	3
14	в зависимости от	5	3
15	они как бы	1	2
16	и во всех	1	2
17	дело не с	1	2
18	свое выражение в	1	2
19	до сих пор	1	2
20	то же слово	2	2
21	к тому что	2	2
22	и в этом	1	2
23	и не может	1	2
24	и то же	3	2
25	того или иного	5	2
26	можно было бы	1	2
27	не только в	3	2
28	и кроме того	2	2
29	в этом случае	3	2
30	в том и	1	2
31	не только на	1	2
32	в свою очередь	4	2
33	как мы уже	2	2
34	эти слова и	1	2
35	одно и то	3	2
36	о том что	2	1
37	с самого начала	4	1
38	ни в какой	1	1
39	здесь как бы	1	1
40	до наших дней	1	1
41	связанных с ними	1	1
42	и не было	1	1
43	как только он	1	1
44	по своему композиционному	1	1
45	одной и той	2	1
46	же время и	1	1
47	в последнем счете	1	1
48	на один из	1	1
49	не должно быть	2	1
50	лишь там где	1	1
51	речи героя ведь	1	1
52	в которой оно	1	1
53	нет ничего что	1	1
54	один из этих	1	1
55	речи то есть	2	1
56	именно потому что	1	1
57	в точном смысле	2	1
58	как и в	1	1
59	можно сказать что	2	1
60	которая могла бы	1	1
61	а затем и	1	1
62	тех или иных	3	1
63	равно как и	2	1
64	для того чтобы	7	1
65	понимание и ответ	1	1
66	речь но в	1	1
67	зависимости от социального	1	1
68	между отдельными моментами	1	1
69	в том что	1	1
70	не может быть	2	1
71	во всех своих	3	1
72	и в отношении	1	1
73	и на его	1	1
74	и той же	2	1
75	не только не	1	1
76	о языке и	1	1
77	и не могут	1	1
78	то у нас	1	1
79	но чаще всего	1	1
80	целый ряд явлений	1	1
81	в значительной степени	2	1
82	то или иное	4	1
83	в этом отношении	2	1
84	уже не только	1	1
85	как мы видим	1	1
86	мы имеем в	1	1
87	в каком направлении	1	1
88	в которой живет	1	1
89	в скрытой форме	1	1
90	отношение говорящего к	2	1
91	прежде всего в	3	1
92	одни и те	1	1
93	как мы видели	3	1
94	мы видим что	2	1
95	мы не знаем	2	1
96	одному из них	1	1
97	то есть к	1	1
98	ближе к тому	1	1
99	новый язык и	1	1
100	здесь таким образом	1	1
101	друг друга и	1	1
102	не в самом	1	1
103	но и в	3	1
104	и перестает быть	1	1
105	и вследствие этого	2	1
106	и те же	1	1
107	тем не менее	1	1
108	слово как бы	1	1
109	мы все же	1	1
110	на то или	1	1
111	и нет ничего	1	1
112	все же и	1	1
113	по крайней мере	1	1
114	именно в процессе	1	1
