N	2gram	Vinokur_Ku_3	Otkroven
1	он не	3	4
2	в самой	1	3
3	от него	1	2
4	для него	1	2
5	в этом	16	2
6	а не	11	2
7	отношение к	3	1
8	что для	1	1
9	в другом	1	1
10	не те	1	1
11	вот оказывается	1	1
12	другом месте	1	1
13	он сам	1	1
14	как и	5	1
15	также и	5	1
16	мысли и	2	1
17	но он	1	1
18	оказывается что	1	1
19	том-то и	1	1
20	что она	5	1
21	учение о	2	1
22	был бы	3	1
23	дело что	1	1
24	во внешней	1	1
25	не внешне	1	1
26	если бы	8	1
27	и эта	1	1
28	она должна	1	1
29	и дело	1	1
30	должно быть	7	1
31	дает знание	1	1
32	было до	1	1
33	есть не	3	1
34	и в	23	1
35	это не	3	1
36	в том-то	1	1
37	до самого	1	1
38	не есть	3	1
39	но и	3	1
40	в отношении	3	1
41	не только	17	1
42	и вот	3	1
43	то он	3	1
44	никогда не	1	1
45	его в	2	1
