N	2gram	Voloshinov_1	IolandNe
1	и с	3	3
2	и не	10	2
3	в этом	4	2
4	записок из	1	2
5	он не	2	2
6	что в	2	2
7	ничего не	2	2
8	себя в	1	1
9	все это	3	1
10	автора и	2	1
11	и др	5	1
12	и тот	1	1
13	и в	12	1
14	и о	1	1
15	с жизнью	1	1
16	то она	1	1
17	как только	2	1
18	не остается	2	1
19	с другой	4	1
20	и та	2	1
21	художественного творчества	3	1
22	того что	3	1
23	в художественном	3	1
24	и без	1	1
25	как о	1	1
26	а с	1	1
27	другой стороны	2	1
28	в материале	2	1
29	с героем	3	1
30	не так	2	1
31	для него	3	1
32	в основе	1	1
33	что для	1	1
34	в значительной	1	1
35	есть только	1	1
36	отношению к	11	1
37	ненависть к	1	1
38	так и	4	1
39	произведения и	3	1
40	того чтобы	1	1
41	никогда не	5	1
42	следующим образом	1	1
43	из подполья	1	1
44	только для	1	1
45	жизни и	4	1
46	для других	2	1
47	в целом	1	1
48	точно и	1	1
49	по отношению	11	1
50	в них	3	1
51	все эти	3	1
52	от нее	1	1
53	если бы	9	1
