N	3gram	Nazirov_Vr_1	Istorich
1	с другой стороны	1	7
2	до сих пор	1	5
3	в том что	2	5
4	тем не менее	1	5
5	в связи с	3	3
6	я не знаю	1	3
7	точно так же	1	2
8	и то что	1	2
9	во всяком случае	1	2
10	в то время	1	2
11	о том что	1	2
12	не только не	1	2
13	целый ряд деталей	2	2
14	о чем говорилось	1	1
15	смерти отца героя	1	1
16	следить за тем	1	1
17	между прочим и	1	1
18	в соответствии с	1	1
19	с точки зрения	2	1
20	независимо от того	1	1
21	что в нем	1	1
22	за тем чтобы	1	1
23	с тех пор	1	1
24	может быть и	1	1
25	же сообщается о	1	1
26	заключается в том	1	1
27	было одним из	1	1
28	и никому не	1	1
29	все же не	1	1
30	так же как	1	1
31	в свою очередь	1	1
32	это и есть	1	1
33	равно как и	1	1
34	не может быть	2	1
35	постепенно выясняется что	1	1
36	но в этом	1	1
37	на то что	1	1
38	во второй раз	1	1
39	и все что	1	1
